lat,lng,rain
15.625,107.375,3
15.875,107.375,-3.338452637195587
15.375,107.625,-1.02
15.625,107.625,0.91
15.875,107.625,-1.3
15.125,107.875,-0.3
15.375,107.875,-0.63
15.625,107.875,1.93
15.875,107.875,1.15
16.125,107.875,-0.75
15.125,108.125,-0.3
15.375,108.125,-1.5
15.625,108.125,1.1
15.875,108.125,-1.72
16.125,108.125,-0.47
15.375,108.375,-0.89
15.625,108.375,-2.3
15.875,108.375,-1.8
15.375,108.625,-1.2
