name,lat,lng
Tra My,15.3,108.2
Kham Duc,15.4,107.8
Tien Phuoc,15.5,108.3
Nong Son,15.7,108.0
Thanh My,15.8,107.8
Giao Thuy,15.8,108.1
Cau Lau,15.9,108.3
Hoi An,15.9,108.3
Ai Nghia,15.9,108.1
Cam Le,16.0,108.2
Da Nang,16.0,108.2
