lat,lon,spi
14.0,107.0,-1.1109446679
14.0,107.1,-1.1109446679
14.0,107.2,-2.01158345156
14.0,107.3,-1.81289285337
14.0,107.4,-1.50150207024
14.0,107.5,-1.50150207024
14.0,107.6,-1.80205492451
14.0,107.7,-1.75720845616
14.0,107.8,-1.34248702231
14.0,107.9,-1.41230538524
14.0,108.0,-2.42389797465
14.0,108.1,-2.39642500344
14.0,108.2,-1.50150207024
14.0,108.3,-1.07774056419
14.0,108.4,-1.50150207024
14.0,108.5,-2.12709495146
14.0,108.6,-1.47139726303
14.0,108.7,-1.26651747041
14.0,108.8,-1.34729616605
14.0,108.9,-1.36903543578
14.0,109.0,-1.60762785144
14.1,107,0
14.1,107.0,-1.70185078677
14.1,107.1,-0.841572401285
14.1,107.2,-0.841572401285
14.1,107.3,-0.841572401285
14.1,107.4,-0.841572401285
14.1,107.5,-0.937387839687
14.1,107.6,-0.956470713081
14.1,107.7,-0.96427191782
14.1,107.8,-1.25716381701
14.1,107.9,-1.37610291219
14.1,108,0
14.1,108.0,-1.78965725503
14.1,108.1,-1.90733325032
14.1,108.2,-2.4970669825
14.1,108.3,-1.50150207024
14.1,108.4,-1.1109446679
14.1,108.5,-1.50150207024
14.1,108.6,-1.1109446679
14.1,108.7,-1.50150207024
14.1,108.8,-1.1109446679
14.1,108.9,-1.1109446679
14.1,109,0
14.1,109.0,-1.50150207024
14.2,107,0
14.2,107.0,-0.421376891903
14.2,107.1,-0.221140877043
14.2,107.2,-0.148303494048
14.2,107.3,-0.253292034964
14.2,107.4,-0.709694011874
14.2,107.5,-0.153999145345
14.2,107.6,-0.288796246025
14.2,107.7,-0.369811348248
14.2,107.8,-0.536261699387
14.2,107.9,-0.623134562068
14.2,108,0
14.2,108.0,-0.903177654551
14.2,108.1,-0.914451348896
14.2,108.2,-1.05160458389
14.2,108.3,-1.35941858062
14.2,108.4,-1.24876300253
14.2,108.5,-1.38235712962
14.2,108.6,-1.37490661766
14.2,108.7,-1.34813617486
14.2,108.8,-1.50150207024
14.2,108.9,-1.50150207024
14.2,109,0
14.2,109.0,-1.64925001175
14.3,107,0
14.3,107.0,-0.485251387645
14.3,107.1,-0.519730364434
14.3,107.2,-0.605886068234
14.3,107.3,-0.794840873069
14.3,107.4,-0.854591666475
14.3,107.5,-0.904569551092
14.3,107.6,-0.940343167035
14.3,107.7,-1.07201211012
14.3,107.8,-1.1109446679
14.3,107.9,-1.1109446679
14.3,108,0
14.3,108.0,-1.08180210609
14.3,108.1,-0.85584283783
14.3,108.2,-0.645622399278
14.3,108.3,-0.569960678673
14.3,108.4,-0.671783514712
14.3,108.5,-0.599120129816
14.3,108.6,-0.347634999197
14.3,108.7,-0.215390109088
14.3,108.8,-0.463426902501
14.3,108.9,-0.665108860171
14.3,109,0
14.3,109.0,-0.486784321067
14.4,107,0
14.4,107.0,-0.155105252052
14.4,107.1,-0.414201275436
14.4,107.2,-0.649897245777
14.4,107.3,-0.102865927233
14.4,107.4,-0.0172421127416
14.4,107.5,-0.0760742677662
14.4,107.6,-0.0819584953301
14.4,107.7,0.0319097101383
14.4,107.8,-0.0857603979785
14.4,107.9,0.222568784584
14.4,108,0
14.4,108.0,0.0228349178995
14.4,108.1,0.0154173019955
14.4,108.2,-0.326057375163
14.4,108.3,-0.343425800836
14.4,108.4,-0.572272667217
14.4,108.5,-0.451237368179
14.4,108.6,-0.601958353153
14.4,108.7,-0.6429411172
14.4,108.8,-0.700309047927
14.4,108.9,-0.673710381965
14.4,109,0
14.4,109.0,-0.660791900477
14.5,107,0
14.5,107.0,0.598064069842
14.5,107.1,0.676262381827
14.5,107.2,0.539184746369
14.5,107.3,0.658240708962
14.5,107.4,0.414993085262
14.5,107.5,0.443064955769
14.5,107.6,0.272555185433
14.5,107.7,0.116830388509
14.5,107.8,0.130399736538
14.5,107.9,0.284125382702
14.5,108,0
14.5,108.0,0.347234939834
14.5,108.1,0.303745741327
14.5,108.2,0.287377524323
14.5,108.3,0.154550073208
14.5,108.4,0.0165486032918
14.5,108.5,0.042109235544
14.5,108.6,0.0808676123883
14.5,108.7,0.130224568436
14.5,108.8,-0.126007524486
14.5,108.9,0.122336093362
14.5,109,0
14.5,109.0,0.0743528985512
14.6,107,0
14.6,107.0,0.657249622318
14.6,107.1,0.491496969483
14.6,107.2,0.452822203034
14.6,107.3,0.910152557656
14.6,107.4,0.967374179753
14.6,107.5,1.06955325274
14.6,107.6,0.673755188451
14.6,107.7,0.332110308116
14.6,107.8,0.539311659113
14.6,107.9,0.961012772266
14.6,108,0
14.6,108.0,0.933646504094
14.6,108.1,0.64520552008
14.6,108.2,0.419399075019
14.6,108.3,0.460599994972
14.6,108.4,0.519812842508
14.6,108.5,0.678152849339
14.6,108.6,0.896382777689
14.6,108.7,0.829813966029
14.6,108.8,0.966828498519
14.6,108.9,0.568793645926
14.6,109,0
14.6,109.0,0.8661376151
14.7,107,0
14.7,107.0,0.046092581556
14.7,107.1,0.357972870535
14.7,107.2,0.60394728805
14.7,107.3,0.6968042337
14.7,107.4,0.462100201275
14.7,107.5,0.453224419821
14.7,107.6,0.624834609915
14.7,107.7,0.401775465898
14.7,107.8,0.49163911207
14.7,107.9,0.582583016587
14.7,108,0
14.7,108.0,-0.102423665637
14.7,108.1,-0.637709394894
14.7,108.2,-0.576821657824
14.7,108.3,-1.29093150497
14.7,108.4,-1.36023828736
14.7,108.5,-1.34679176826
14.7,108.6,-0.784214420826
14.7,108.7,-0.782501447901
14.7,108.8,-0.378180846936
14.7,108.9,-0.132879814347
14.7,109,0
14.7,109.0,0.396232568024
14.8,107,0
14.8,107.0,0.132695479524
14.8,107.1,0.446979080807
14.8,107.2,0.369036737243
14.8,107.3,0.337888001594
14.8,107.4,0.732089776974
14.8,107.5,0.747799033259
14.8,107.6,0.840544796766
14.8,107.7,0.979414130416
14.8,107.8,0.538811294166
14.8,107.9,0.466143962215
14.8,108,0
14.8,108.0,-0.213711449886
14.8,108.1,0.379653778066
14.8,108.2,0.0303029497204
14.8,108.3,-0.0883212589242
14.8,108.4,-0.333424724435
14.8,108.5,-0.478040022722
14.8,108.6,-0.0424326625528
14.8,108.7,-0.545787552152
14.8,108.8,-0.434893622275
14.8,108.9,-0.257404472141
14.8,109,0
14.8,109.0,-0.0391462591969
14.9,107,0
14.9,107.0,-0.162042539824
14.9,107.1,0.692998721344
14.9,107.2,0.537028756107
14.9,107.3,0.6393870652
14.9,107.4,0.480282980631
14.9,107.5,0.610634092049
14.9,107.6,0.212147137492
14.9,107.7,0.0226751028946
14.9,107.8,-0.0598448676661
14.9,107.9,0.17535431936
14.9,108,0
14.9,108.0,0.52879965899
14.9,108.1,0.750807960094
14.9,108.2,0.507328704788
14.9,108.3,0.403519969747
14.9,108.4,0.568712402461
14.9,108.5,-0.156544915781
14.9,108.6,0.268150855187
14.9,108.7,-0.082470847607
14.9,108.8,0.295619963482
14.9,108.9,0.304898929148
14.9,109,0
14.9,109.0,0.190361203367
14,107,0
14,107.1,0
14,107.2,0
14,107.3,0
14,107.4,0
14,107.5,0
14,107.6,0
14,107.7,0
14,107.8,0
14,107.9,0
14,108,0
14,108.1,0
14,108.2,0
14,108.3,0
14,108.4,0
14,108.5,0
14,108.6,0
14,108.7,0
14,108.8,0
14,108.9,0
14,109,0
15.0,107.0,-0.778362344093
15.0,107.1,-1.06180445363
15.0,107.2,-1.10472888075
15.0,107.3,-0.670736372866
15.0,107.4,-0.707935914889
15.0,107.5,-1.05645090154
