lat,lon,spi
14.0,107.0,-0.598543720251
14.0,107.1,-0.459389305476
14.0,107.2,-0.649031766648
14.0,107.3,-0.521622410704
14.0,107.4,-0.458917730723
14.0,107.5,-0.51536273498
14.0,107.6,-0.366316155951
14.0,107.7,-0.34911104031
14.0,107.8,-0.277452798057
14.0,107.9,-0.11863507971
14.0,108.0,-0.158668560267
14.0,108.1,-0.14115626672
14.0,108.2,-0.14867920095
14.0,108.3,-0.171629506293
14.0,108.4,-0.208280647172
14.0,108.5,-0.196929460062
14.0,108.6,-0.183953161138
14.0,108.7,-0.223135550598
14.0,108.8,-0.117064527835
14.0,108.9,-0.189694322692
14.0,109.0,-0.138730835256
14.1,107,0
14.1,107.0,0.319970505187
14.1,107.1,-0.446229749495
14.1,107.2,-0.462321779685
14.1,107.3,-0.546123931662
14.1,107.4,-0.576547961726
14.1,107.5,-0.573855957113
14.1,107.6,-0.79356859964
14.1,107.7,-0.513392192773
14.1,107.8,-0.559381356143
14.1,107.9,-0.427705866673
14.1,108,0
14.1,108.0,-0.582194503179
14.1,108.1,-0.601807061635
14.1,108.2,-0.668404784499
14.1,108.3,-0.881266060297
14.1,108.4,-0.934102517068
14.1,108.5,-0.767649623127
14.1,108.6,-0.567945952076
14.1,108.7,-0.823753174279
14.1,108.8,-0.666304210887
14.1,108.9,-0.456243688715
14.1,109,0
14.1,109.0,-0.590247221099
14.2,107,0
14.2,107.0,-0.443339947477
14.2,107.1,-0.916145778426
14.2,107.2,-0.629227310043
14.2,107.3,-0.493237128669
14.2,107.4,-0.684634946433
14.2,107.5,-0.619270334284
14.2,107.6,-0.800357847036
14.2,107.7,-0.958354588083
14.2,107.8,-0.991002312752
14.2,107.9,-0.620609302689
14.2,108,0
14.2,108.0,-0.82683427945
14.2,108.1,-0.796356784523
14.2,108.2,-0.715665921398
14.2,108.3,-0.729157399707
14.2,108.4,-0.56909237221
14.2,108.5,-0.697814789671
14.2,108.6,-0.506305230772
14.2,108.7,-1.09248871599
14.2,108.8,-0.739817331401
14.2,108.9,-0.653598876045
14.2,109,0
14.2,109.0,-0.224158144781
14.3,107,0
14.3,107.0,-0.668356347923
14.3,107.1,-0.977492146651
14.3,107.2,-0.739472663962
14.3,107.3,-0.821888895454
14.3,107.4,-1.02851458521
14.3,107.5,-0.850175861116
14.3,107.6,-1.00849396488
14.3,107.7,-0.977489508773
14.3,107.8,-0.850020314195
14.3,107.9,-1.0118074295
14.3,108,0
14.3,108.0,-0.984394490066
14.3,108.1,-0.921143041689
14.3,108.2,-1.14155494734
14.3,108.3,-1.03740688553
14.3,108.4,-0.941813102597
14.3,108.5,-0.526084518295
14.3,108.6,-0.545374543064
14.3,108.7,-0.376159899898
14.3,108.8,-0.423442130732
14.3,108.9,-0.425131303839
14.3,109,0
14.3,109.0,-0.358683459609
14.4,107,0
14.4,107.0,-0.723304748149
14.4,107.1,-0.760791986262
14.4,107.2,-0.921473731505
14.4,107.3,-0.700937931642
14.4,107.4,-0.65391041535
14.4,107.5,-0.715530999881
14.4,107.6,-0.667020597233
14.4,107.7,-0.589209379131
14.4,107.8,-0.792318374636
14.4,107.9,-0.640475147693
14.4,108,0
14.4,108.0,-0.579995570784
14.4,108.1,-0.664299820834
14.4,108.2,-0.730408104819
14.4,108.3,-0.63184011248
14.4,108.4,-0.592264262635
14.4,108.5,-0.549864224663
14.4,108.6,-0.551696805856
14.4,108.7,-0.563980244551
14.4,108.8,-0.559903546267
14.4,108.9,-0.546326629913
14.4,109,0
14.4,109.0,-0.590930554967
14.5,107,0
14.5,107.0,-0.604046635619
14.5,107.1,-0.923152072201
14.5,107.2,-0.756178093713
14.5,107.3,0.360691774473
14.5,107.4,0.131105861008
14.5,107.5,-0.596491950677
14.5,107.6,-0.424370361237
14.5,107.7,-0.372681278498
14.5,107.8,-0.651376425289
14.5,107.9,-0.756568293234
14.5,108,0
14.5,108.0,-0.392373003959
14.5,108.1,-0.314465977491
14.5,108.2,-0.368532532415
14.5,108.3,-0.615352242183
14.5,108.4,-0.810845901456
14.5,108.5,-0.691203357782
14.5,108.6,-0.48230245043
14.5,108.7,-0.465328756882
14.5,108.8,-0.472774424085
14.5,108.9,-0.545052769706
14.5,109,0
14.5,109.0,-0.847160963572
14.6,107,0
14.6,107.0,-0.708465398756
14.6,107.1,-0.983322797499
14.6,107.2,-1.16258107454
14.6,107.3,-0.930271947771
14.6,107.4,-0.858343992617
14.6,107.5,-1.07489234514
14.6,107.6,-0.692647535727
14.6,107.7,-1.2208936423
14.6,107.8,-1.27808617257
14.6,107.9,-1.12774720172
14.6,108,0
14.6,108.0,-0.879348069215
14.6,108.1,-0.948651748437
14.6,108.2,-0.586428674045
14.6,108.3,-0.834224409413
14.6,108.4,-0.724111284532
14.6,108.5,-0.72417498099
14.6,108.6,-0.709955984351
14.6,108.7,-0.697635384332
14.6,108.8,-0.854687624566
14.6,108.9,-0.59454668187
14.6,109,0
14.6,109.0,-0.768158468082
14.7,107,0
14.7,107.0,-0.708693447202
14.7,107.1,-0.967479307787
14.7,107.2,-0.888532502241
14.7,107.3,-0.653346187609
14.7,107.4,-0.817186290063
14.7,107.5,-0.486246419512
14.7,107.6,-1.2208936423
14.7,107.7,-1.37030409354
14.7,107.8,-1.01748062446
14.7,107.9,-0.821146788312
14.7,108,0
14.7,108.0,-0.910253280827
14.7,108.1,-1.04189265473
14.7,108.2,-0.802867991513
14.7,108.3,0.13284455235
14.7,108.4,-0.434998718035
14.7,108.5,-0.658249877617
14.7,108.6,-0.366618263844
14.7,108.7,-0.525142522758
14.7,108.8,-0.479691003421
14.7,108.9,-0.638023920817
14.7,109,0
14.7,109.0,-0.816294676613
14.8,107,0
14.8,107.0,0.39439128987
14.8,107.1,0.137584521233
14.8,107.2,-0.151742365444
14.8,107.3,-0.111271650518
14.8,107.4,0.176891127866
14.8,107.5,-0.0378256056333
14.8,107.6,-0.110637046373
14.8,107.7,-0.284020562004
14.8,107.8,-0.162095114433
14.8,107.9,-0.276894878834
14.8,108,0
14.8,108.0,-0.018735559781
14.8,108.1,-0.284665413415
14.8,108.2,-0.334314752016
14.8,108.3,-0.394860332667
14.8,108.4,-0.463156620105
14.8,108.5,-0.932942816648
14.8,108.6,-0.72142718191
14.8,108.7,-1.2208936423
14.8,108.8,-0.372278761054
14.8,108.9,-0.38200827913
14.8,109,0
14.8,109.0,-1.15116694026
14.9,107,0
14.9,107.0,-0.627495409728
14.9,107.1,-0.535530402978
14.9,107.2,-0.772516495047
14.9,107.3,-0.904993959411
14.9,107.4,-1.01432129221
14.9,107.5,-1.12447678138
14.9,107.6,-0.557203579
14.9,107.7,-0.588043308358
14.9,107.8,-0.510346267267
14.9,107.9,-0.605189313835
14.9,108,0
14.9,108.0,-0.80505753475
14.9,108.1,-0.467235096875
14.9,108.2,-0.545763580157
14.9,108.3,-0.325253274503
14.9,108.4,-0.338059342777
14.9,108.5,-0.220416622062
