lat,lon,spi
14.0,107.0,0.24804782051
14.0,107.1,0.139518497399
14.0,107.2,0.127391760062
14.0,107.3,0.28189940839
14.0,107.4,0.0478229170362
14.0,107.5,0.161589843948
14.0,107.6,0.126310427586
14.0,107.7,0.0838164943041
14.0,107.8,0.290824527429
14.0,107.9,0.28189940839
14.0,108.0,0.750035931736
14.0,108.1,0.798460068478
14.0,108.2,0.389053129488
14.0,108.3,0.680288476848
14.0,108.4,0.327357532884
14.0,108.5,0.1912634955
14.0,108.6,0.125966912345
14.0,108.7,0.306150186353
14.0,108.8,0.281085993647
14.0,108.9,0.131848814085
14.0,109.0,0.161606882698
14.1,107,0
14.1,107.0,-0.00010760730668
14.1,107.1,-0.12365607787
14.1,107.2,0.139518497399
14.1,107.3,0.139518497399
14.1,107.4,-0.111873893213
14.1,107.5,-0.179550886575
14.1,107.6,0.0196725051589
14.1,107.7,-0.00010760730668
14.1,107.8,0.139518497399
14.1,107.9,0.139518497399
14.1,108,0
14.1,108.0,0.28189940839
14.1,108.1,-0.00010760730668
14.1,108.2,-0.139518497399
14.1,108.3,0.015971566302
14.1,108.4,-0.00167890367565
14.1,108.5,-0.00010760730668
14.1,108.6,-0.00010760730668
14.1,108.7,-0.00010760730668
14.1,108.8,-0.00010760730668
14.1,108.9,0.144888493125
14.1,109,0
14.1,109.0,0.310470514385
14.2,107,0
14.2,107.0,0.139518497399
14.2,107.1,0.139518497399
14.2,107.2,-0.139518497399
14.2,107.3,-0.139518497399
14.2,107.4,-0.139518497399
14.2,107.5,0.139518497399
14.2,107.6,-0.139518497399
14.2,107.7,-0.00010760730668
14.2,107.8,-0.00010760730668
14.2,107.9,-0.00010760730668
14.2,108,0
14.2,108.0,-0.28189940839
14.2,108.1,-0.00010760730668
14.2,108.2,-0.28189940839
14.2,108.3,-0.139518497399
14.2,108.4,-0.00010760730668
14.2,108.5,0.139518497399
14.2,108.6,-0.139518497399
14.2,108.7,-0.139518497399
14.2,108.8,-0.139518497399
14.2,108.9,-0.139518497399
14.2,109,0
14.2,109.0,-0.00010760730668
14.3,107,0
14.3,107.0,-0.430404689847
14.3,107.1,-0.28189940839
14.3,107.2,-0.589209379131
14.3,107.3,-0.764596082464
14.3,107.4,-0.430404689847
14.3,107.5,-0.139518497399
14.3,107.6,-0.00010760730668
14.3,107.7,-0.00010760730668
14.3,107.8,-0.139518497399
14.3,107.9,-0.139518497399
14.3,108,0
14.3,108.0,-0.00010760730668
14.3,108.1,-0.28189940839
14.3,108.2,-0.28189940839
14.3,108.3,-0.139518497399
14.3,108.4,-0.00010760730668
14.3,108.5,-0.00010760730668
14.3,108.6,-0.139518497399
14.3,108.7,-0.0636143933674
14.3,108.8,-0.28189940839
14.3,108.9,-0.28189940839
14.3,109,0
14.3,109.0,-0.00010760730668
14.4,107,0
14.4,107.0,-0.139518497399
14.4,107.1,-0.28189940839
14.4,107.2,-0.28189940839
14.4,107.3,-0.28189940839
14.4,107.4,-0.589209379131
14.4,107.5,-0.430404689847
14.4,107.6,-0.139518497399
14.4,107.7,-0.139518497399
14.4,107.8,-0.28189940839
14.4,107.9,-0.28189940839
14.4,108,0
14.4,108.0,-0.28189940839
14.4,108.1,-0.28189940839
14.4,108.2,-0.28189940839
14.4,108.3,-0.28189940839
14.4,108.4,-0.28189940839
14.4,108.5,-0.00010760730668
14.4,108.6,-0.28189940839
14.4,108.7,-0.139518497399
14.4,108.8,-0.28189940839
14.4,108.9,-0.139518497399
14.4,109,0
14.4,109.0,-0.28189940839
14.5,107,0
14.5,107.0,-0.430404689847
14.5,107.1,-0.764596082464
14.5,107.2,-0.764596082464
14.5,107.3,-0.589209379131
14.5,107.4,-0.764596082464
14.5,107.5,-0.589209379131
14.5,107.6,-0.430404689847
14.5,107.7,-0.430404689847
14.5,107.8,-0.589209379131
14.5,107.9,-0.28189940839
14.5,108,0
14.5,108.0,-0.764596082464
14.5,108.1,-0.589209379131
