lat,lon,rainRate
14.1,107.1,1.37
14.1,107.2,0.47
14.1,107.3,0.47
14.1,107.4,0.82
14.1,107.5,1.34
14.1,107.6,2.60
14.1,107.7,1.29
14.1,107.8,2.14
14.1,107.9,1.57
14.1,108.0,1.13
14.1,108.1,0.53
14.1,108.2,0.79
14.1,108.3,0.39
14.1,108.4,0.48
14.1,108.5,0.49
14.1,108.6,0.13
14.1,108.7,0.00
14.1,108.8,0.00
14.1,108.9,0.00
14.2,107.1,1.91
14.2,107.2,0.67
14.2,107.3,0.27
14.2,107.4,0.37
14.2,107.5,0.93
14.2,107.6,2.97
14.2,107.7,1.53
14.2,107.8,0.34
14.2,107.9,0.30
14.2,108.0,0.26
14.2,108.1,0.24
14.2,108.2,0.22
14.2,108.3,0.17
14.2,108.4,0.21
14.2,108.5,0.27
14.2,108.6,0.10
14.2,108.7,0.00
14.2,108.8,0.00
14.2,108.9,0.00
14.3,107.1,1.92
14.3,107.2,0.31
14.3,107.3,2.04
14.3,107.4,2.03
14.3,107.5,1.88
14.3,107.6,0.92
14.3,107.7,0.77
14.3,107.8,0.21
14.3,107.9,0.00
14.3,108.0,0.00
14.3,108.1,0.00
14.3,108.2,0.00
14.3,108.3,0.00
14.3,108.4,0.00
14.3,108.5,0.00
14.3,108.6,0.00
14.3,108.7,0.00
14.3,108.8,0.00
14.3,108.9,0.00
14.4,107.1,1.64
14.4,107.2,0.00
14.4,107.3,2.13
14.4,107.4,2.10
14.4,107.5,2.04
14.4,107.6,0.03
14.4,107.7,0.04
14.4,107.8,1.71
14.4,107.9,1.38
14.4,108.0,1.56
14.4,108.1,0.00
14.4,108.2,0.00
14.4,108.3,0.00
14.4,108.4,0.00
14.4,108.5,0.00
14.4,108.6,0.00
14.4,108.7,0.00
14.4,108.8,0.00
14.4,108.9,0.00
14.5,107.1,0.84
14.5,107.2,0.00
14.5,107.3,2.13
14.5,107.4,2.06
14.5,107.5,1.99
14.5,107.6,0.05
14.5,107.7,0.09
14.5,107.8,1.98
14.5,107.9,1.60
14.5,108.0,0.00
14.5,108.1,0.09
14.5,108.2,1.44
14.5,108.3,1.18
14.5,108.4,1.12
14.5,108.5,1.20
14.5,108.6,1.43
14.5,108.7,1.68
14.5,108.8,0.00
14.5,108.9,0.00
14.5,109.0,0.00
14.6,107.1,0.11
14.6,107.2,0.13
14.6,107.3,2.56
14.6,107.4,2.49
14.6,107.5,2.02
14.6,107.6,0.04
14.6,107.7,2.00
14.6,107.8,2.00
14.6,107.9,1.70
14.6,108.0,1.89
14.6,108.1,1.89
14.6,108.2,1.79
14.6,108.3,1.79
14.6,108.4,1.60
14.6,108.5,3.56
14.6,108.6,2.69
14.6,108.7,2.49
14.6,108.8,2.61
14.6,108.9,0.41
14.6,109.0,0.00
14.7,107.1,2.51
14.7,107.2,3.06
14.7,107.3,5.45
14.7,107.4,1.20
14.7,107.5,0.03
14.7,107.6,2.52
14.7,107.7,2.40
14.7,107.8,2.12
14.7,107.9,1.96
14.7,108.0,2.73
14.7,108.1,2.85
14.7,108.2,2.49
14.7,108.3,3.26
14.7,108.4,3.68
14.7,108.5,3.50
14.7,108.6,4.66
14.7,108.7,5.99
14.7,108.8,13.31
14.7,108.9,1.45
14.7,109.0,0.86
14.8,107.1,2.37
14.8,107.2,2.80
14.8,107.3,4.08
14.8,107.4,0.80
14.8,107.5,0.52
14.8,107.6,3.16
14.8,107.7,2.99
14.8,107.8,2.25
14.8,107.9,2.10
14.8,108.0,2.83
14.8,108.1,2.59
14.8,108.2,2.43
14.8,108.3,3.71
14.8,108.4,4.10
14.8,108.5,5.36
14.8,108.6,12.41
14.8,108.7,15.07
14.8,108.8,10.44
14.8,108.9,4.28
14.8,109.0,2.07
14.9,107.1,2.30
14.9,107.2,2.39
14.9,107.3,2.84
14.9,107.4,0.10
14.9,107.5,0.35
14.9,107.6,2.64
14.9,107.7,3.05
14.9,107.8,2.48
14.9,107.9,2.65
14.9,108.0,2.46
14.9,108.1,2.08
14.9,108.2,1.86
14.9,108.3,3.70
14.9,108.4,4.33
14.9,108.5,6.10
14.9,108.6,16.81
14.9,108.7,28.70
14.9,108.8,8.18
14.9,108.9,4.06
14.9,109.0,2.97
15.0,107.1,0.00
15.0,107.2,0.24
15.0,107.3,0.74
15.0,107.4,0.00
15.0,107.5,0.00
15.0,107.6,1.88
15.0,107.7,2.30
15.0,107.8,2.11
15.0,107.9,2.29
15.0,108.0,2.00
15.0,108.1,1.55
15.0,108.2,1.68
15.0,108.3,1.89
15.0,108.4,2.24
15.0,108.5,3.60
15.0,108.6,14.55
15.0,108.7,21.61
15.0,108.8,7.35
15.0,108.9,5.66
15.0,109.0,3.82
15.1,107.1,0.00
15.1,107.2,0.03
15.1,107.3,0.00
15.1,107.4,0.00
15.1,107.5,0.00
15.1,107.6,2.30
15.1,107.7,2.35
15.1,107.8,2.31
15.1,107.9,2.67
15.1,108.0,1.89
15.1,108.1,1.69
15.1,108.2,2.47
15.1,108.3,3.67
15.1,108.4,2.65
15.1,108.5,8.98
15.1,108.6,29.65
15.1,108.7,24.89
15.1,108.8,6.57
15.1,108.9,5.56
15.1,109.0,3.60
15.2,107.1,0.00
15.2,107.2,0.00
15.2,107.3,0.00
15.2,107.4,0.00
15.2,107.5,2.19
15.2,107.6,2.68
