lat,lon,rainRate
14.1,107.1,3.60
14.1,107.2,0.85
14.1,107.3,0.01
14.1,107.4,0.00
14.1,107.5,0.00
14.1,107.6,0.00
14.1,107.7,0.00
14.1,107.8,0.00
14.1,107.9,0.00
14.1,108.0,0.00
14.1,108.1,0.00
14.1,108.2,0.00
14.1,108.3,0.00
14.1,108.4,0.00
14.1,108.5,0.00
14.1,108.6,0.00
14.1,108.7,0.00
14.1,108.8,0.00
14.1,108.9,0.00
14.2,107.1,3.85
14.2,107.2,1.26
14.2,107.3,0.00
14.2,107.4,0.00
14.2,107.5,0.00
14.2,107.6,0.00
14.2,107.7,0.00
14.2,107.8,0.00
14.2,107.9,0.00
14.2,108.0,0.00
14.2,108.1,0.00
14.2,108.2,0.00
14.2,108.3,0.00
14.2,108.4,0.00
14.2,108.5,0.00
14.2,108.6,0.00
14.2,108.7,0.00
14.2,108.8,0.00
14.2,108.9,2.69
14.3,107.1,2.97
14.3,107.2,0.00
14.3,107.3,0.00
14.3,107.4,0.00
14.3,107.5,0.00
14.3,107.6,0.00
14.3,107.7,0.00
14.3,107.8,0.00
14.3,107.9,0.00
14.3,108.0,0.00
14.3,108.1,0.00
14.3,108.2,0.00
14.3,108.3,0.00
14.3,108.4,0.00
14.3,108.5,0.00
14.3,108.6,0.00
14.3,108.7,0.00
14.3,108.8,0.00
14.3,108.9,2.65
14.4,107.1,0.57
14.4,107.2,0.00
14.4,107.3,0.00
14.4,107.4,0.00
14.4,107.5,0.00
14.4,107.6,0.00
14.4,107.7,0.00
14.4,107.8,0.00
14.4,107.9,0.00
14.4,108.0,0.00
14.4,108.1,0.00
14.4,108.2,0.01
14.4,108.3,0.00
14.4,108.4,0.02
14.4,108.5,0.00
14.4,108.6,0.10
14.4,108.7,0.00
14.4,108.8,3.03
14.4,108.9,1.99
14.5,107.1,0.80
14.5,107.2,0.00
14.5,107.3,0.00
14.5,107.4,0.00
14.5,107.5,0.00
14.5,107.6,0.00
14.5,107.7,0.00
14.5,107.8,0.00
14.5,107.9,0.00
14.5,108.0,0.54
14.5,108.1,0.04
14.5,108.2,1.40
14.5,108.3,0.08
14.5,108.4,2.27
14.5,108.5,1.92
14.5,108.6,4.15
14.5,108.7,3.50
14.5,108.8,5.19
14.5,108.9,3.76
14.5,109.0,2.34
14.6,107.1,0.49
14.6,107.2,0.00
14.6,107.3,0.00
14.6,107.4,0.00
14.6,107.5,0.00
14.6,107.6,0.00
14.6,107.7,0.00
14.6,107.8,0.00
14.6,107.9,0.00
14.6,108.0,0.14
14.6,108.1,0.01
14.6,108.2,0.79
14.6,108.3,0.06
14.6,108.4,1.84
14.6,108.5,1.08
14.6,108.6,3.59
14.6,108.7,2.99
14.6,108.8,4.37
14.6,108.9,3.25
14.6,109.0,2.36
14.7,107.1,0.07
14.7,107.2,0.00
14.7,107.3,0.00
14.7,107.4,0.00
14.7,107.5,0.00
14.7,107.6,0.00
14.7,107.7,0.00
14.7,107.8,0.00
14.7,107.9,0.00
14.7,108.0,0.03
14.7,108.1,0.01
14.7,108.2,0.59
14.7,108.3,0.04
14.7,108.4,1.10
14.7,108.5,0.98
14.7,108.6,3.76
14.7,108.7,2.90
14.7,108.8,3.83
14.7,108.9,3.36
14.7,109.0,2.42
14.8,107.1,0.10
14.8,107.2,0.00
14.8,107.3,0.00
14.8,107.4,0.00
14.8,107.5,0.00
14.8,107.6,0.00
14.8,107.7,0.00
14.8,107.8,0.00
14.8,107.9,0.00
14.8,108.0,0.00
14.8,108.1,0.01
14.8,108.2,0.02
14.8,108.3,0.06
14.8,108.4,0.03
14.8,108.5,0.82
14.8,108.6,1.16
14.8,108.7,2.72
14.8,108.8,2.25
14.8,108.9,4.22
14.8,109.0,2.40
14.9,107.1,0.00
14.9,107.2,0.00
14.9,107.3,0.00
14.9,107.4,0.00
14.9,107.5,0.00
14.9,107.6,0.00
14.9,107.7,0.00
14.9,107.8,0.00
14.9,107.9,0.00
14.9,108.0,0.00
14.9,108.1,0.00
14.9,108.2,0.02
14.9,108.3,0.02
14.9,108.4,0.03
14.9,108.5,0.02
14.9,108.6,0.39
14.9,108.7,0.16
14.9,108.8,0.58
14.9,108.9,1.85
14.9,109.0,1.09
15.0,107.1,0.03
15.0,107.2,0.02
15.0,107.3,0.02
15.0,107.4,0.00
15.0,107.5,0.00
15.0,107.6,0.00
15.0,107.7,0.00
15.0,107.8,0.00
15.0,107.9,0.00
15.0,108.0,0.00
15.0,108.1,0.00
15.0,108.2,0.00
15.0,108.3,0.01
15.0,108.4,0.00
15.0,108.5,0.02
15.0,108.6,0.08
15.0,108.7,0.03
15.0,108.8,0.08
15.0,108.9,0.17
15.0,109.0,0.17
15.1,107.1,0.06
15.1,107.2,0.03
15.1,107.3,0.03
15.1,107.4,0.02
15.1,107.5,0.00
15.1,107.6,0.00
15.1,107.7,0.00
15.1,107.8,0.00
15.1,107.9,0.00
15.1,108.0,0.00
15.1,108.1,0.00
15.1,108.2,0.00
15.1,108.3,0.09
15.1,108.4,0.08
15.1,108.5,0.04
15.1,108.6,0.04
15.1,108.7,0.03
15.1,108.8,0.09
15.1,108.9,0.17
15.1,109.0,0.17
15.2,107.1,0.03
15.2,107.2,0.05
15.2,107.3,0.03
15.2,107.4,0.03
15.2,107.5,0.00
15.2,107.6,0.00
15.2,107.7,0.00
15.2,107.8,0.00
15.2,107.9,0.00
15.2,108.0,1.04
15.2,108.1,0.01
15.2,108.2,0.21
15.2,108.3,0.04
15.2,108.4,0.04
15.2,108.5,0.04
15.2,108.6,0.04
15.2,108.7,0.03
15.2,108.8,0.12
15.2,108.9,0.17
15.2,109.0,0.17
15.3,107.1,0.10
15.3,107.2,0.09
15.3,107.3,0.00
15.3,107.4,0.00
15.3,107.5,0.00
15.3,107.6,0.00
15.3,107.7,0.03
15.3,107.8,0.01
15.3,107.9,0.15
15.3,108.0,0.18
15.3,108.1,1.04
15.3,108.2,0.49
