lat,lon,rainRate
14.1,107.1,3.01
14.1,107.2,1.68
14.1,107.3,5.95
14.1,107.4,6.82
14.1,107.5,8.20
14.1,107.6,9.82
14.1,107.7,4.56
14.1,107.8,7.79
14.1,107.9,6.95
14.1,108.0,6.86
14.1,108.1,6.91
14.1,108.2,6.56
14.1,108.3,3.92
14.1,108.4,6.19
14.1,108.5,6.44
14.1,108.6,0.03
14.1,108.7,0.02
14.1,108.8,4.48
14.1,108.9,2.97
14.2,107.1,5.37
14.2,107.2,7.44
14.2,107.3,7.65
14.2,107.4,6.15
14.2,107.5,6.85
14.2,107.6,6.07
14.2,107.7,4.98
14.2,107.8,7.50
14.2,107.9,5.99
14.2,108.0,7.64
14.2,108.1,8.20
14.2,108.2,4.76
14.2,108.3,5.19
14.2,108.4,7.82
14.2,108.5,5.20
14.2,108.6,0.45
14.2,108.7,0.01
14.2,108.8,0.00
14.2,108.9,0.00
14.3,107.1,5.31
14.3,107.2,4.18
14.3,107.3,5.50
14.3,107.4,6.06
14.3,107.5,9.66
14.3,107.6,16.45
14.3,107.7,17.37
14.3,107.8,7.55
14.3,107.9,6.88
14.3,108.0,7.88
14.3,108.1,8.84
14.3,108.2,7.32
14.3,108.3,6.06
14.3,108.4,6.77
14.3,108.5,4.80
14.3,108.6,0.52
14.3,108.7,0.17
14.3,108.8,0.00
14.3,108.9,0.00
14.4,107.1,6.05
14.4,107.2,7.50
14.4,107.3,7.32
14.4,107.4,7.86
14.4,107.5,10.60
14.4,107.6,20.15
14.4,107.7,28.30
14.4,107.8,10.30
14.4,107.9,9.07
14.4,108.0,10.38
14.4,108.1,10.72
14.4,108.2,10.76
14.4,108.3,9.81
14.4,108.4,10.11
14.4,108.5,5.57
14.4,108.6,0.86
14.4,108.7,0.61
14.4,108.8,0.00
14.4,108.9,0.00
14.5,107.1,3.25
14.5,107.2,5.35
14.5,107.3,6.48
14.5,107.4,8.80
14.5,107.5,10.50
14.5,107.6,14.79
14.5,107.7,23.21
14.5,107.8,14.15
14.5,107.9,8.81
14.5,108.0,11.57
14.5,108.1,12.90
14.5,108.2,22.99
14.5,108.3,12.75
14.5,108.4,12.49
14.5,108.5,4.86
14.5,108.6,2.81
14.5,108.7,0.00
14.5,108.8,0.00
14.5,108.9,0.00
14.5,109.0,0.00
14.6,107.1,3.31
14.6,107.2,3.00
14.6,107.3,3.54
14.6,107.4,6.21
14.6,107.5,8.51
14.6,107.6,9.47
14.6,107.7,14.26
14.6,107.8,15.01
14.6,107.9,12.00
14.6,108.0,14.75
14.6,108.1,26.26
14.6,108.2,47.80
14.6,108.3,36.29
14.6,108.4,35.05
14.6,108.5,9.13
14.6,108.6,7.10
14.6,108.7,1.68
14.6,108.8,0.00
14.6,108.9,0.00
14.6,109.0,0.00
14.7,107.1,3.29
14.7,107.2,3.21
14.7,107.3,3.61
14.7,107.4,6.75
14.7,107.5,7.97
14.7,107.6,11.21
14.7,107.7,11.65
14.7,107.8,12.32
14.7,107.9,18.22
14.7,108.0,21.73
14.7,108.1,37.45
14.7,108.2,66.88
14.7,108.3,82.31
14.7,108.4,95.24
14.7,108.5,41.39
14.7,108.6,16.11
14.7,108.7,3.09
14.7,108.8,0.87
14.7,108.9,0.00
14.7,109.0,0.00
14.8,107.1,3.63
14.8,107.2,5.51
14.8,107.3,5.62
14.8,107.4,6.16
14.8,107.5,7.03
14.8,107.6,9.62
14.8,107.7,10.14
14.8,107.8,12.60
14.8,107.9,19.54
14.8,108.0,24.75
14.8,108.1,38.20
14.8,108.2,50.62
14.8,108.3,96.28
14.8,108.4,140.13
14.8,108.5,131.06
14.8,108.6,67.14
14.8,108.7,5.58
14.8,108.8,2.58
14.8,108.9,0.00
14.8,109.0,0.00
14.9,107.1,3.66
14.9,107.2,5.69
14.9,107.3,5.98
14.9,107.4,6.38
14.9,107.5,7.42
14.9,107.6,7.55
14.9,107.7,8.85
14.9,107.8,9.90
14.9,107.9,16.79
14.9,108.0,20.15
14.9,108.1,32.67
14.9,108.2,44.47
14.9,108.3,73.89
14.9,108.4,113.94
14.9,108.5,127.62
14.9,108.6,55.84
14.9,108.7,5.05
14.9,108.8,3.10
14.9,108.9,0.00
14.9,109.0,0.00
15.0,107.1,5.67
15.0,107.2,5.92
15.0,107.3,5.90
15.0,107.4,5.83
15.0,107.5,6.20
15.0,107.6,6.66
15.0,107.7,7.46
15.0,107.8,10.26
15.0,107.9,10.76
15.0,108.0,14.88
15.0,108.1,21.22
15.0,108.2,25.65
15.0,108.3,36.05
15.0,108.4,42.47
15.0,108.5,53.38
15.0,108.6,16.99
15.0,108.7,2.28
15.0,108.8,1.65
15.0,108.9,0.00
15.0,109.0,0.00
15.1,107.1,3.48
15.1,107.2,5.51
15.1,107.3,4.48
15.1,107.4,4.53
15.1,107.5,5.19
15.1,107.6,6.00
15.1,107.7,6.06
15.1,107.8,6.62
15.1,107.9,7.45
15.1,108.0,8.29
15.1,108.1,11.11
15.1,108.2,10.22
15.1,108.3,12.72
15.1,108.4,16.47
15.1,108.5,16.95
15.1,108.6,9.45
15.1,108.7,1.94
15.1,108.8,0.00
15.1,108.9,0.00
15.1,109.0,0.00
15.2,107.1,1.57
15.2,107.2,1.10
15.2,107.3,2.46
15.2,107.4,3.15
15.2,107.5,3.45
15.2,107.6,3.95
15.2,107.7,2.80
15.2,107.8,2.62
15.2,107.9,3.03
15.2,108.0,2.88
15.2,108.1,4.12
15.2,108.2,3.69
15.2,108.3,3.36
15.2,108.4,4.67
15.2,108.5,7.76
15.2,108.6,10.41
15.2,108.7,3.95
15.2,108.8,0.00
15.2,108.9,0.00
15.2,109.0,0.00
15.3,107.1,0.32
15.3,107.2,0.32
15.3,107.3,0.84
15.3,107.4,2.59
15.3,107.5,2.47
15.3,107.6,2.37
15.3,107.7,8.12
15.3,107.8,7.75
15.3,107.9,2.28
15.3,108.0,0.55
15.3,108.1,0.13
15.3,108.2,0.36
15.3,108.3,0.63
15.3,108.4,0.63
15.3,108.5,0.97
15.3,108.6,0.78
15.3,108.7,0.00
15.3,108.8,0.00
15.3,108.9,0.00
15.3,109.0,0.00
15.4,107.1,0.00
15.4,107.2,0.00
15.4,107.3,0.00
15.4,107.4,1.09
15.4,107.5,1.28
15.4,107.6,6.82
15.4,107.7,7.93
15.4,107.8,6.38
15.4,107.9,5.80
15.4,108.0,4.85
15.4,108.1,0.00
15.4,108.2,0.00
15.4,108.3,0.00
15.4,108.4,0.00
15.4,108.5,0.00
15.4,108.6,0.00
15.4,108.7,0.00
15.4,108.8,0.00
15.4,108.9,0.00
15.4,109.0,0.00
15.5,107.1,0.00
15.5,107.2,0.00
15.5,107.3,0.00
15.5,107.4,4.71
15.5,107.5,5.79
15.5,107.6,5.29
15.5,107.7,8.58
15.5,107.8,8.91
15.5,107.9,8.69
15.5,108.0,6.25
15.5,108.1,0.00
15.5,108.2,0.00
