lat,lon,rainRate
14.1,107.1,3.61
14.1,107.2,4.22
14.1,107.3,2.58
14.1,107.4,2.66
14.1,107.5,2.75
14.1,107.6,2.62
14.1,107.7,1.45
14.1,107.8,1.62
14.1,107.9,2.31
14.1,108.0,1.14
14.1,108.1,0.41
14.1,108.2,0.21
14.1,108.3,0.00
14.1,108.4,0.00
14.1,108.5,0.00
14.1,108.6,0.00
14.1,108.7,0.00
14.1,108.8,0.00
14.1,108.9,0.00
14.2,107.1,1.55
14.2,107.2,0.78
14.2,107.3,1.69
14.2,107.4,2.21
14.2,107.5,1.26
14.2,107.6,1.46
14.2,107.7,1.48
14.2,107.8,1.61
14.2,107.9,1.27
14.2,108.0,0.27
14.2,108.1,0.25
14.2,108.2,0.14
14.2,108.3,0.00
14.2,108.4,0.00
14.2,108.5,0.00
14.2,108.6,0.00
14.2,108.7,0.00
14.2,108.8,0.00
14.2,108.9,0.00
14.3,107.1,0.63
14.3,107.2,0.18
14.3,107.3,0.84
14.3,107.4,0.47
14.3,107.5,0.40
14.3,107.6,0.51
14.3,107.7,0.52
14.3,107.8,0.48
14.3,107.9,0.21
14.3,108.0,0.18
14.3,108.1,0.00
14.3,108.2,0.00
14.3,108.3,0.00
14.3,108.4,0.00
14.3,108.5,0.00
14.3,108.6,0.00
14.3,108.7,0.00
14.3,108.8,0.00
14.3,108.9,0.00
14.4,107.1,1.12
14.4,107.2,2.62
14.4,107.3,2.74
14.4,107.4,1.74
14.4,107.5,0.30
14.4,107.6,0.06
14.4,107.7,0.00
14.4,107.8,0.00
14.4,107.9,0.00
14.4,108.0,0.00
14.4,108.1,0.00
14.4,108.2,0.00
14.4,108.3,0.00
14.4,108.4,0.00
14.4,108.5,0.00
14.4,108.6,0.00
14.4,108.7,0.00
14.4,108.8,0.00
14.4,108.9,0.00
14.5,107.1,3.58
14.5,107.2,3.97
14.5,107.3,2.75
14.5,107.4,1.56
14.5,107.5,0.88
14.5,107.6,0.70
14.5,107.7,0.11
14.5,107.8,0.10
14.5,107.9,0.08
14.5,108.0,0.08
14.5,108.1,0.00
14.5,108.2,0.00
14.5,108.3,0.00
14.5,108.4,0.00
14.5,108.5,0.00
14.5,108.6,0.00
14.5,108.7,0.00
14.5,108.8,0.00
14.5,108.9,0.00
14.5,109.0,0.00
14.6,107.1,5.43
14.6,107.2,4.64
14.6,107.3,2.72
14.6,107.4,2.26
14.6,107.5,1.73
14.6,107.6,0.79
14.6,107.7,0.24
14.6,107.8,0.16
14.6,107.9,0.12
14.6,108.0,0.10
14.6,108.1,0.08
14.6,108.2,0.00
14.6,108.3,0.00
14.6,108.4,0.00
14.6,108.5,0.00
14.6,108.6,0.00
14.6,108.7,0.00
14.6,108.8,0.00
14.6,108.9,0.00
14.6,109.0,0.00
14.7,107.1,7.20
14.7,107.2,6.03
14.7,107.3,3.45
14.7,107.4,3.48
14.7,107.5,2.46
14.7,107.6,1.07
14.7,107.7,0.24
14.7,107.8,0.22
14.7,107.9,0.21
14.7,108.0,0.20
14.7,108.1,0.05
14.7,108.2,0.00
14.7,108.3,0.00
14.7,108.4,0.00
14.7,108.5,0.00
14.7,108.6,0.00
14.7,108.7,0.00
14.7,108.8,0.00
14.7,108.9,0.00
14.7,109.0,0.00
14.8,107.1,3.86
14.8,107.2,3.40
14.8,107.3,2.78
14.8,107.4,2.58
14.8,107.5,2.65
14.8,107.6,0.77
14.8,107.7,0.15
14.8,107.8,0.14
14.8,107.9,0.10
14.8,108.0,0.23
14.8,108.1,0.00
14.8,108.2,0.00
14.8,108.3,0.00
14.8,108.4,0.00
14.8,108.5,0.00
14.8,108.6,0.00
14.8,108.7,0.00
14.8,108.8,0.00
14.8,108.9,0.00
14.8,109.0,0.00
14.9,107.1,0.55
14.9,107.2,1.45
14.9,107.3,1.17
14.9,107.4,0.67
14.9,107.5,0.26
14.9,107.6,0.03
14.9,107.7,0.07
14.9,107.8,0.10
14.9,107.9,0.10
14.9,108.0,0.07
14.9,108.1,0.00
14.9,108.2,0.00
14.9,108.3,0.00
14.9,108.4,0.00
14.9,108.5,0.00
14.9,108.6,0.00
14.9,108.7,0.00
14.9,108.8,0.00
14.9,108.9,0.00
14.9,109.0,0.00
15.0,107.1,0.16
15.0,107.2,0.20
15.0,107.3,0.08
15.0,107.4,0.11
15.0,107.5,0.10
15.0,107.6,0.03
15.0,107.7,0.01
15.0,107.8,0.01
15.0,107.9,0.00
15.0,108.0,0.00
15.0,108.1,0.00
15.0,108.2,0.00
15.0,108.3,0.00
15.0,108.4,0.00
15.0,108.5,0.00
15.0,108.6,0.00
15.0,108.7,0.00
15.0,108.8,0.00
15.0,108.9,0.00
15.0,109.0,0.00
15.1,107.1,0.02
15.1,107.2,0.02
15.1,107.3,0.00
15.1,107.4,0.00
15.1,107.5,0.00
15.1,107.6,0.00
15.1,107.7,0.00
15.1,107.8,0.00
15.1,107.9,0.00
15.1,108.0,0.00
15.1,108.1,0.00
15.1,108.2,0.00
15.1,108.3,0.00
15.1,108.4,0.00
15.1,108.5,0.00
15.1,108.6,0.00
15.1,108.7,0.00
15.1,108.8,0.00
15.1,108.9,0.00
