lat,lon,rainRate
14.1,107.1,0.52
14.1,107.2,0.58
14.1,107.3,0.48
14.1,107.4,0.66
14.1,107.5,0.84
14.1,107.6,1.02
14.1,107.7,1.93
14.1,107.8,2.50
14.1,107.9,2.79
14.1,108.0,1.64
14.1,108.1,0.58
14.1,108.2,1.32
14.1,108.3,1.06
14.1,108.4,0.33
14.1,108.5,0.33
14.1,108.6,0.23
14.1,108.7,1.15
14.1,108.8,2.38
14.1,108.9,2.61
14.2,107.1,0.74
14.2,107.2,0.50
14.2,107.3,0.38
14.2,107.4,0.28
14.2,107.5,1.17
14.2,107.6,1.80
14.2,107.7,2.20
14.2,107.8,2.68
14.2,107.9,2.20
14.2,108.0,0.58
14.2,108.1,0.00
14.2,108.2,0.00
14.2,108.3,0.48
14.2,108.4,0.17
14.2,108.5,0.00
14.2,108.6,0.06
14.2,108.7,1.05
14.2,108.8,1.74
14.2,108.9,2.06
14.3,107.1,0.58
14.3,107.2,0.17
14.3,107.3,0.12
14.3,107.4,0.31
14.3,107.5,0.75
14.3,107.6,1.32
14.3,107.7,0.84
14.3,107.8,0.86
14.3,107.9,0.24
14.3,108.0,0.00
14.3,108.1,0.30
14.3,108.2,0.44
14.3,108.3,0.00
14.3,108.4,0.00
14.3,108.5,0.00
14.3,108.6,0.00
14.3,108.7,0.00
14.3,108.8,1.48
14.3,108.9,1.95
14.4,107.1,0.21
14.4,107.2,0.00
14.4,107.3,0.00
14.4,107.4,0.00
14.4,107.5,0.30
14.4,107.6,0.30
14.4,107.7,0.00
14.4,107.8,0.00
14.4,107.9,0.00
14.4,108.0,0.00
14.4,108.1,0.50
14.4,108.2,0.96
14.4,108.3,0.48
14.4,108.4,0.00
14.4,108.5,0.00
14.4,108.6,0.00
14.4,108.7,0.00
14.4,108.8,1.71
14.4,108.9,2.78
14.5,107.1,0.10
14.5,107.2,0.00
14.5,107.3,0.00
14.5,107.4,0.00
14.5,107.5,0.00
14.5,107.6,0.00
14.5,107.7,1.09
14.5,107.8,1.44
14.5,107.9,0.51
14.5,108.0,0.28
14.5,108.1,0.00
14.5,108.2,0.44
14.5,108.3,0.00
14.5,108.4,0.00
14.5,108.5,0.00
14.5,108.6,0.00
14.5,108.7,0.00
14.5,108.8,1.99
14.5,108.9,1.87
14.5,109.0,1.77
14.6,107.1,0.22
14.6,107.2,0.20
14.6,107.3,0.00
14.6,107.4,0.00
14.6,107.5,0.00
14.6,107.6,0.00
14.6,107.7,0.68
14.6,107.8,1.15
14.6,107.9,1.32
14.6,108.0,0.58
14.6,108.1,0.03
14.6,108.2,0.00
14.6,108.3,0.00
14.6,108.4,0.00
14.6,108.5,0.00
14.6,108.6,0.00
14.6,108.7,0.00
14.6,108.8,1.95
14.6,108.9,1.76
14.6,109.0,1.47
14.7,107.1,0.42
14.7,107.2,0.42
14.7,107.3,0.70
14.7,107.4,0.70
14.7,107.5,0.00
14.7,107.6,0.00
14.7,107.7,0.00
14.7,107.8,0.00
