lat,lon,rainRate
15.3,107.5,0.00
15.3,107.6,0.35
15.3,107.7,3.36
15.3,107.8,5.18
15.3,107.9,6.45
15.3,108.0,8.35
15.3,108.1,3.66
15.3,108.2,10.10
15.3,108.3,10.56
15.3,108.4,5.03
15.3,108.5,2.31
15.3,108.6,0.00
15.3,108.7,0.00
15.3,108.8,0.00
15.3,108.9,0.00
15.4,107.1,1.02
15.4,107.2,0.66
15.4,107.3,0.00
15.4,107.4,0.00
15.4,107.5,0.75
15.4,107.6,1.94
15.4,107.7,5.46
15.4,107.8,4.07
15.4,107.9,3.19
15.4,108.0,0.00
15.4,108.1,0.12
15.4,108.2,0.00
15.4,108.3,0.06
15.4,108.4,1.72
15.4,108.5,0.00
15.4,108.6,0.00
15.4,108.7,0.00
15.4,108.8,0.00
15.4,108.9,0.00
15.5,107.1,0.93
15.5,107.2,0.03
15.5,107.3,0.00
15.5,107.4,0.00
15.5,107.5,0.00
15.5,107.6,0.00
15.5,107.7,0.00
15.5,107.8,0.00
15.5,107.9,0.00
15.5,108.0,0.00
15.5,108.1,0.00
15.5,108.2,0.00
15.5,108.3,0.00
15.5,108.4,0.00
15.5,108.5,0.00
15.5,108.6,0.00
15.5,108.7,0.00
15.5,108.8,0.00
15.5,108.9,0.00
15.6,107.1,2.20
15.6,107.2,0.24
15.6,107.3,4.18
15.6,107.4,7.78
15.6,107.5,22.14
15.6,107.6,23.28
15.6,107.7,39.53
15.6,107.8,44.89
15.6,107.9,21.02
15.6,108.0,1.96
15.6,108.1,0.00
15.6,108.2,0.00
15.6,108.3,0.00
15.6,108.4,0.00
15.6,108.5,0.00
15.6,108.6,0.00
15.6,108.7,0.00
15.6,108.8,0.00
15.6,108.9,0.00
15.7,107.1,6.90
15.7,107.2,13.50
15.7,107.3,16.38
15.7,107.4,23.92
15.7,107.5,37.02
15.7,107.6,42.77
15.7,107.7,46.75
15.7,107.8,43.50
15.7,107.9,21.96
15.7,108.0,7.48
15.7,108.1,1.75
15.7,108.2,0.00
15.7,108.3,0.03
15.7,108.4,0.66
15.7,108.5,0.37
15.7,108.6,0.00
15.7,108.7,0.00
15.7,108.8,0.00
15.7,108.9,0.00
15.8,107.1,8.86
15.8,107.2,14.61
15.8,107.3,24.72
15.8,107.4,34.07
15.8,107.5,52.59
15.8,107.6,58.18
15.8,107.7,48.82
15.8,107.8,33.91
15.8,107.9,15.17
15.8,108.0,2.26
15.8,108.1,0.00
15.8,108.2,0.00
15.8,108.3,0.04
15.8,108.4,0.21
15.8,108.5,0.00
15.8,108.6,0.00
15.8,108.7,0.00
15.8,108.8,0.00
15.8,108.9,0.00
15.9,107.1,7.08
15.9,107.2,16.14
15.9,107.3,29.26
15.9,107.4,49.81
15.9,107.5,84.43
15.9,107.6,71.15
15.9,107.7,49.71
15.9,107.8,29.34
15.9,107.9,5.09
15.9,108.0,1.26
15.9,108.1,0.00
15.9,108.2,0.00
15.9,108.3,0.00
15.9,108.4,0.00
15.9,108.5,0.00
15.9,108.6,0.00
15.9,108.7,0.00
15.9,108.8,0.00
15.9,108.9,0.00
16.0,107.1,3.65
16.0,107.2,6.07
16.0,107.3,9.01
16.0,107.4,27.33
16.0,107.5,47.98
16.0,107.6,46.20
16.0,107.7,35.90
16.0,107.8,17.14
16.0,107.9,2.14
16.0,108.0,0.58
16.0,108.1,0.00
16.0,108.2,0.00
16.0,108.3,0.00
16.0,108.4,0.00
16.0,108.5,0.00
16.0,108.6,0.00
16.0,108.7,0.00
16.0,108.8,0.00
16.0,108.9,0.00
16.1,107.1,1.16
16.1,107.2,3.23
16.1,107.3,7.59
16.1,107.4,13.97
16.1,107.5,18.60
16.1,107.6,18.84
16.1,107.7,12.14
16.1,107.8,6.10
16.1,107.9,1.14
16.1,108.0,0.00
16.1,108.1,0.00
16.1,108.2,0.00
16.1,108.3,0.00
16.1,108.4,0.00
16.1,108.5,0.00
16.1,108.6,0.00
16.1,108.7,0.00
16.1,108.8,0.00
16.1,108.9,0.00
16.2,107.1,4.06
16.2,107.2,8.43
16.2,107.3,11.62
16.2,107.4,8.99
16.2,107.5,11.70
16.2,107.6,8.43
16.2,107.7,8.25
16.2,107.8,3.39
16.2,107.9,0.61
16.2,108.0,0.00
16.2,108.1,0.00
16.2,108.2,0.00
