name,lat,lon,spi
Tra My,15.3372,108.222,-0.400678867234
Kham Duc,15.445,107.7936111,-0.818659711446
Tien Phuoc,15.48833333,108.3077778,-0.390922057444
Nong Son,15.7025,108.0341667,-0.797700700214
Thanh My,15.766666666667,107.83055555556,-0.957020784441
Giao Thuy,15.84166667,108.1344444,-1.37027776699
Cau Lau,15.85805556,108.2733333,-0.982210552126
Hoi An,15.876666666667,108.33527777778,-0.927206913791
Ai Nghia,15.88138889,108.1102778,-1.35091367105
Cam Le,16.01083333,108.2058333,-0.820478259717
Da Nang,16.03,108.18,-0.589551461526
