name,lat,lon,spi
Tra My,15.3372,108.222,-0.363546067728
Kham Duc,15.445,107.7936111,-0.899066543867
Tien Phuoc,15.48833333,108.3077778,-0.595840198209
Nong Son,15.7025,108.0341667,-0.735105427838
Thanh My,15.766666666667,107.83055555556,-0.6889233717
Giao Thuy,15.84166667,108.1344444,-1.19130454005
Cau Lau,15.85805556,108.2733333,-1.2488849493
Hoi An,15.876666666667,108.33527777778,-0.902505938002
Ai Nghia,15.88138889,108.1102778,-1.32982583746
Cam Le,16.01083333,108.2058333,-1.18526101644
Da Nang,16.03,108.18,-0.78211791903
