name,lat,lon,spi
Tra My,15.3372,108.222,-0.373768090225
Kham Duc,15.445,107.7936111,-0.284081408866
Tien Phuoc,15.48833333,108.3077778,-0.538969728245
Nong Son,15.7025,108.0341667,-0.616859649782
Thanh My,15.766666666667,107.83055555556,-1.35587709537
Giao Thuy,15.84166667,108.1344444,-1.42141351913
Cau Lau,15.85805556,108.2733333,-1.36801068106
Hoi An,15.876666666667,108.33527777778,-1.49198209952
Ai Nghia,15.88138889,108.1102778,-1.04278387059
Cam Le,16.01083333,108.2058333,-1.39403783661
Da Nang,16.03,108.18,-1.43286768514
