lat,lon,spi
14.0,107.0,-0.89567012592
14.0,107.1,-0.8318525816
14.0,107.2,-0.629670514635
14.0,107.3,-0.656161467906
14.0,107.4,-1.01982525188
14.0,107.5,-0.673479458304
14.0,107.6,0.410477349327
14.0,107.7,0.526668466745
14.0,107.8,-0.259481137862
14.0,107.9,-1.00861495317
14.0,108.0,-0.902201397715
14.0,108.1,-1.01475432093
14.0,108.2,-0.812911711376
14.0,108.3,-0.635053766457
14.0,108.4,-0.746531375247
14.0,108.5,-0.902744555312
14.0,108.6,-0.952017981213
14.0,108.7,-1.00765611707
14.0,108.8,-1.03094350746
14.0,108.9,-1.09408826716
14.0,109.0,-0.923502071162
14.1,107,0
14.1,107.0,-1.2758689057
14.1,107.1,-1.27326309377
14.1,107.2,-1.19821342479
14.1,107.3,-1.26347729988
14.1,107.4,-1.11172149709
14.1,107.5,-1.07641953172
14.1,107.6,-1.0320281859
14.1,107.7,-0.980317248507
14.1,107.8,-1.21250177553
14.1,107.9,-1.23745330863
14.1,108,0
14.1,108.0,-1.08349904376
14.1,108.1,-1.25117651782
14.1,108.2,-1.17290367936
14.1,108.3,-1.24059644532
14.1,108.4,-1.21044670831
14.1,108.5,-1.27025291102
14.1,108.6,-1.11301481777
14.1,108.7,-1.08497011073
14.1,108.8,-0.961297602585
14.1,108.9,-0.982336613749
14.1,109,0
14.1,109.0,-0.896895448395
14.2,107,0
14.2,107.0,-1.44041593015
14.2,107.1,-1.49059289974
14.2,107.2,-1.53846600765
14.2,107.3,-1.70318954013
14.2,107.4,-0.30941237017
14.2,107.5,-0.33707684464
14.2,107.6,-1.70200267309
14.2,107.7,-0.882818520028
14.2,107.8,-1.276397819
14.2,107.9,-1.76830906853
14.2,108,0
14.2,108.0,-0.641356723994
14.2,108.1,-0.512695976261
14.2,108.2,-1.37175565071
14.2,108.3,-1.51447409765
14.2,108.4,-0.780344718237
14.2,108.5,-0.623939617726
14.2,108.6,-0.807072561612
14.2,108.7,-0.592825774685
14.2,108.8,-0.881657116402
14.2,108.9,-0.906544133722
14.2,109,0
14.2,109.0,-1.26398256752
14.3,107,0
14.3,107.0,-1.77242457181
14.3,107.1,-1.8535192283
14.3,107.2,-1.7336615737
14.3,107.3,-1.27348163833
14.3,107.4,-1.22452103283
14.3,107.5,-1.41113732951
14.3,107.6,-1.30274789109
14.3,107.7,-1.35775775559
14.3,107.8,-1.35427828093
14.3,107.9,-1.22783422268
14.3,108,0
14.3,108.0,-1.22238784352
14.3,108.1,-1.57551120513
14.3,108.2,-1.62893933687
14.3,108.3,-1.49448527785
14.3,108.4,-1.36754363891
14.3,108.5,-1.45934320461
14.3,108.6,-1.54558946972
14.3,108.7,-1.35035109988
14.3,108.8,-1.34591200336
14.3,108.9,-1.29709290576
14.3,109,0
14.3,109.0,-1.26770732794
14.4,107,0
14.4,107.0,-1.14907424857
14.4,107.1,-1.03723982467
14.4,107.2,-1.36862690433
14.4,107.3,-1.46251782211
14.4,107.4,-1.29979129659
14.4,107.5,-1.5469773042
14.4,107.6,-1.49754841008
14.4,107.7,-1.76216757226
14.4,107.8,-1.4176274191
14.4,107.9,-1.47278960828
14.4,108,0
14.4,108.0,-1.58897132754
14.4,108.1,-1.6102288921
14.4,108.2,-1.39257678895
14.4,108.3,-1.60538253891
14.4,108.4,-1.4435838725
14.4,108.5,-1.2532554275
14.4,108.6,-1.49355983558
14.4,108.7,-1.37812534618
14.4,108.8,-1.41322819999
14.4,108.9,-1.55701005506
