lat,lon,spi
14.0,107.0,0.316411882369
14.0,107.1,0.252519861915
14.0,107.2,0.137672434704
14.0,107.3,0.169423380238
14.0,107.4,0.273974967007
14.0,107.5,0.403404225849
14.0,107.6,0.41593711867
14.0,107.7,0.251117293676
14.0,107.8,0.418779953105
14.0,107.9,0.791772915017
14.0,108.0,0.80116912437
14.0,108.1,0.746807163821
14.0,108.2,1.00663878484
14.0,108.3,0.991015680445
14.0,108.4,1.09246593585
14.0,108.5,1.21752921492
14.0,108.6,1.51717670892
14.0,108.7,1.66382275839
14.0,108.8,1.75118395594
14.0,108.9,1.83133319253
14.0,109.0,1.78856671877
14.1,107,0
14.1,107.0,0.91577376911
14.1,107.1,0.853752128709
14.1,107.2,0.932317355654
14.1,107.3,0.797462835337
14.1,107.4,0.752559400006
14.1,107.5,0.635366769995
14.1,107.6,0.768680493572
14.1,107.7,0.55743718692
14.1,107.8,0.610224988783
14.1,107.9,0.496010571088
14.1,108,0
14.1,108.0,0.608098491151
14.1,108.1,0.522959888907
14.1,108.2,0.517544813299
14.1,108.3,0.528008697411
14.1,108.4,0.470979506474
14.1,108.5,0.399221176844
14.1,108.6,0.384125831829
14.1,108.7,0.255263592791
14.1,108.8,0.464637873727
14.1,108.9,0.495532203807
14.1,109,0
14.1,109.0,0.393413379732
14.2,107,0
14.2,107.0,1.5356397113
14.2,107.1,1.55515272061
14.2,107.2,1.75438554199
14.2,107.3,1.88680241498
14.2,107.4,1.74153264806
14.2,107.5,1.67641415311
14.2,107.6,1.56803343516
14.2,107.7,1.71138282059
14.2,107.8,1.86386542789
14.2,107.9,1.56669409945
14.2,108,0
14.2,108.0,1.45704330144
14.2,108.1,1.32622094882
14.2,108.2,1.00113052221
14.2,108.3,1.05108348215
14.2,108.4,1.056106034
14.2,108.5,1.1638070459
14.2,108.6,0.968947634198
14.2,108.7,0.989994063611
14.2,108.8,1.08739291892
14.2,108.9,0.947205279758
14.2,109,0
14.2,109.0,1.03289170456
14.3,107,0
14.3,107.0,1.19336635269
14.3,107.1,1.16244064629
14.3,107.2,1.12521251706
14.3,107.3,1.28352247818
14.3,107.4,1.1973362334
14.3,107.5,1.21294401156
14.3,107.6,1.25898518585
14.3,107.7,1.25022580827
14.3,107.8,1.27884315574
14.3,107.9,1.43721930814
14.3,108,0
14.3,108.0,1.65011449367
14.3,108.1,1.70755047067
14.3,108.2,1.84607263106
14.3,108.3,1.69199991772
14.3,108.4,1.80588441551
14.3,108.5,1.73905883368
14.3,108.6,1.69482661353
14.3,108.7,1.51022896489
14.3,108.8,1.61744459419
14.3,108.9,1.63486644636
14.3,109,0
14.3,109.0,1.5642485471
14.4,107,0
14.4,107.0,0.973417651138
14.4,107.1,1.13818779837
14.4,107.2,1.05408442689
14.4,107.3,1.00596716382
14.4,107.4,1.06492571833
14.4,107.5,0.931350855148
14.4,107.6,1.03436758792
14.4,107.7,1.08767013182
14.4,107.8,1.14664342068
14.4,107.9,1.27836947441
14.4,108,0
14.4,108.0,1.26783090457
14.4,108.1,1.00290339413
14.4,108.2,1.28179582956
14.4,108.3,1.1921296836
14.4,108.4,1.12976499333
14.4,108.5,1.0250082142
14.4,108.6,1.02016664152
14.4,108.7,1.0356663381
14.4,108.8,1.10165987243
14.4,108.9,1.04514747707
14.4,109,0
14.4,109.0,1.08166314253
14.5,107,0
14.5,107.0,0.866697423509
14.5,107.1,0.99065514947
14.5,107.2,0.881340709645
14.5,107.3,0.946627961729
14.5,107.4,1.01694492126
14.5,107.5,0.950737674416
14.5,107.6,0.942867895995
14.5,107.7,1.05632509888
14.5,107.8,1.04039197561
14.5,107.9,1.10871051691
14.5,108,0
14.5,108.0,1.06562915601
14.5,108.1,0.977943709517
14.5,108.2,0.928417862307
14.5,108.3,0.826777021105
14.5,108.4,0.727653777315
14.5,108.5,0.856387039089
14.5,108.6,1.0317069648
14.5,108.7,1.02832963998
14.5,108.8,1.08557268988
14.5,108.9,1.0648402015
14.5,109,0
14.5,109.0,0.940920058925
14.6,107,0
14.6,107.0,1.42064100382
14.6,107.1,1.39972345742
14.6,107.2,1.15407993184
14.6,107.3,1.2272849173
14.6,107.4,1.1943081554
14.6,107.5,0.899007081109
14.6,107.6,1.08601890622
14.6,107.7,1.05185225387
14.6,107.8,1.08256308294
14.6,107.9,0.863185664759
14.6,108,0
14.6,108.0,0.868456480549
14.6,108.1,0.786130155939
14.6,108.2,0.774510577394
14.6,108.3,0.916414246848
14.6,108.4,1.08807252737
14.6,108.5,1.1722287343
14.6,108.6,1.12748367065
14.6,108.7,0.607928727184
14.6,108.8,1.05535367455
14.6,108.9,0.78758403249
14.6,109,0
14.6,109.0,1.03082188485
14.7,107,0
14.7,107.0,0.972731622272
14.7,107.1,1.22639178651
14.7,107.2,0.896869219645
14.7,107.3,0.851967504901
14.7,107.4,0.94979483504
14.7,107.5,1.14579084857
14.7,107.6,1.21180267919
14.7,107.7,1.11021026867
14.7,107.8,1.26123785046
14.7,107.9,1.54586375653
14.7,108,0
14.7,108.0,1.55252309192
14.7,108.1,1.12986426689
14.7,108.2,1.05086961547
14.7,108.3,1.17850935496
14.7,108.4,1.24930102967
14.7,108.5,1.34025660474
14.7,108.6,1.20670856629
14.7,108.7,1.07847732871
14.7,108.8,1.11861148362
14.7,108.9,1.35441373722
14.7,109,0
14.7,109.0,1.38178620256
14.8,107,0
14.8,107.0,1.76727048192
14.8,107.1,1.70191576538
14.8,107.2,1.5043671671
14.8,107.3,1.23672821502
14.8,107.4,1.2095788632
14.8,107.5,1.36562683512
14.8,107.6,1.53150038002
