lat,lon,rainRate
14.0,107.0,1.049077339
14.0,107.1,0.984999815817
14.0,107.2,1.09515142255
14.0,107.3,1.00096394401
14.0,107.4,1.36779915169
14.0,107.5,1.32279475033
14.0,107.6,0.828230446205
14.0,107.7,0.761389639229
14.0,107.8,0.692228926346
14.0,107.9,1.22749751247
14.0,108.0,1.19610040262
14.0,108.1,0.332351582125
14.0,108.2,0.267241464404
14.0,108.3,0.244001677085
14.0,108.4,0.661290718243
14.0,108.5,0.760169619694
14.0,108.6,1.47601253353
14.0,108.7,1.4456753172
14.0,108.8,0.70521133393
14.0,108.9,0.626197038102
14.0,109.0,0.523727742955
14.1,107.0,0.792714632116
14.1,107.1,0.856595921796
14.1,107.2,0.864022730326
14.1,107.3,0.867157709785
14.1,107.4,0.864500192925
14.1,107.5,0.908780194586
14.1,107.6,0.843744833022
14.1,107.7,0.914682914037
14.1,107.8,0.991656384664
14.1,107.9,0.911821027519
14.1,108.0,0.977720448747
14.1,108.1,1.08105942607
14.1,108.2,1.13110462856
14.1,108.3,0.862910300493
14.1,108.4,0.757768936921
14.1,108.5,0.825468208641
14.1,108.6,0.809483028948
14.1,108.7,0.755059647374
14.1,108.8,1.00446852297
14.1,108.9,1.16444615927
14.1,109.0,0.973323340528
14.2,107.0,0.51607950218
14.2,107.1,0.603034417378
14.2,107.2,0.534357115917
14.2,107.3,0.67444047553
14.2,107.4,0.629962738603
14.2,107.5,0.389587314799
14.2,107.6,0.371031586314
14.2,107.7,0.526158346329
14.2,107.8,0.590676568449
14.2,107.9,1.14419208455
14.2,108.0,1.22602566588
14.2,108.1,1.18189120479
14.2,108.2,1.13310093188
14.2,108.3,0.958333536226
14.2,108.4,0.811481414072
14.2,108.5,0.867758129723
14.2,108.6,0.611103301868
14.2,108.7,0.629754337424
14.2,108.8,0.730077506043
14.2,108.9,0.839439254254
14.2,109.0,0.828774603549
14.3,107.0,2.53807667829
14.3,107.1,2.21621538326
14.3,107.2,1.72954980913
14.3,107.3,1.58787196595
14.3,107.4,1.20515465934
14.3,107.5,0.860564667033
14.3,107.6,0.698998377775
14.3,107.7,0.484848566819
14.3,107.8,0.469158670865
14.3,107.9,0.439430112019
14.3,108.0,0.559508513776
14.3,108.1,0.576873466838
14.3,108.2,0.471144643612
14.3,108.3,0.504997749347
14.3,108.4,0.417000515386
14.3,108.5,0.358124487568
14.3,108.6,0.460597652942
14.3,108.7,0.493551586755
14.3,108.8,0.534969705506
14.3,108.9,0.554788607638
14.3,109.0,0.567339038476
14.4,107.0,0.740050235763
14.4,107.1,1.22887997888
14.4,107.2,1.38530832343
14.4,107.3,1.02750696009
14.4,107.4,0.877090756781
14.4,107.5,0.983066895977
14.4,107.6,1.43254561885
14.4,107.7,1.45040547196
14.4,107.8,1.17522037541
14.4,107.9,1.11421510018
14.4,108.0,1.08524989476
14.4,108.1,0.835723393597
14.4,108.2,1.37145819142
14.4,108.3,1.84269541316
14.4,108.4,2.39548179111
14.4,108.5,2.95509007573
14.4,108.6,3.18877756211
14.4,108.7,3.60774543043
14.4,108.8,2.9758832613
14.4,108.9,3.1334766238
