lat,lon,spi
14.0,107.0,-1.05322889391
14.0,107.1,-1.06558084153
14.0,107.2,-1.13497434356
14.0,107.3,-1.15606766145
14.0,107.4,-1.06822739873
14.0,107.5,-0.855707059822
14.0,107.6,-0.728383681937
14.0,107.7,-0.46935768259
14.0,107.8,-0.3483375269
14.0,107.9,-0.123524007006
14.0,108.0,0.0891638437562
14.0,108.1,0.0149218270101
14.0,108.2,0.061014004257
14.0,108.3,0.132746988155
14.0,108.4,0.0159134262674
14.0,108.5,-0.0604510942937
14.0,108.6,-0.153298639031
14.0,108.7,-0.25963942024
14.0,108.8,0.027025014134
14.0,108.9,-0.0846184486121
14.0,109.0,-0.229070023913
14.1,107,0
14.1,107.0,-0.455711749852
14.1,107.1,-0.433411386144
14.1,107.2,-0.577552432019
14.1,107.3,-0.534348983886
14.1,107.4,-0.75925564302
14.1,107.5,-0.815422190171
14.1,107.6,-0.859256824274
14.1,107.7,-0.832922343025
14.1,107.8,-0.749899372854
14.1,107.9,-0.854036513608
14.1,108,0
14.1,108.0,-0.790806424247
14.1,108.1,-0.962805093173
14.1,108.2,-0.972807218357
14.1,108.3,-1.02878877628
14.1,108.4,-0.930975606713
14.1,108.5,-0.926670622445
14.1,108.6,-1.07777430636
14.1,108.7,-0.941379334201
14.1,108.8,-0.994479297639
14.1,108.9,-1.13821810457
14.1,109,0
14.1,109.0,-1.11116077071
14.2,107,0
14.2,107.0,-0.548627121043
14.2,107.1,-0.581565953551
14.2,107.2,-0.55996556856
14.2,107.3,-0.4342640826
14.2,107.4,-0.241331200296
14.2,107.5,-0.174642110266
14.2,107.6,-0.214306530494
14.2,107.7,-0.24655547749
14.2,107.8,-0.259234621086
14.2,107.9,-0.391592730225
14.2,108,0
14.2,108.0,-0.357624961191
14.2,108.1,-0.251697830919
14.2,108.2,-0.232291310151
14.2,108.3,-0.186835860484
14.2,108.4,-0.0887515323289
14.2,108.5,-0.217945587129
14.2,108.6,-0.218753443062
14.2,108.7,-0.258133359476
14.2,108.8,-0.137450423001
14.2,108.9,-0.331369162796
14.2,109,0
14.2,109.0,-0.552964041689
14.3,107,0
14.3,107.0,-0.83885944865
14.3,107.1,-0.833940764502
14.3,107.2,-0.81109757838
14.3,107.3,-0.856483777447
14.3,107.4,-0.771822982335
14.3,107.5,-0.728280588969
14.3,107.6,-0.910089893162
14.3,107.7,-0.877461088359
14.3,107.8,-0.92421301096
14.3,107.9,-0.841786063241
14.3,108,0
14.3,108.0,-0.992976224736
14.3,108.1,-0.835366052394
14.3,108.2,-0.744237869926
14.3,108.3,-0.670616653982
14.3,108.4,-0.696835625436
14.3,108.5,-0.800445221657
14.3,108.6,-0.855034241224
14.3,108.7,-0.573205974398
14.3,108.8,-0.496966579536
14.3,108.9,-0.321496220471
14.3,109,0
14.3,109.0,-0.631889345165
14.4,107,0
14.4,107.0,-0.775052871543
14.4,107.1,-0.717590893373
14.4,107.2,-0.692712851765
14.4,107.3,-0.814283186463
14.4,107.4,-0.828939382222
14.4,107.5,-0.79687511753
14.4,107.6,-0.748461416323
14.4,107.7,-0.895882751588
14.4,107.8,-0.969808961072
14.4,107.9,-0.980500600319
14.4,108,0
14.4,108.0,-1.0308754661
14.4,108.1,-1.08033850715
14.4,108.2,-1.00464762436
14.4,108.3,-0.982368844491
14.4,108.4,-0.91492898225
14.4,108.5,-0.878206931648
14.4,108.6,-1.02489761359
14.4,108.7,-0.910850408003
14.4,108.8,-0.953599383865
14.4,108.9,-0.933980271307
14.4,109,0
14.4,109.0,-0.850617308389
14.5,107,0
14.5,107.0,-0.52737365971
14.5,107.1,-0.345253151754
14.5,107.2,-0.379069086366
14.5,107.3,-0.300792679298
14.5,107.4,-0.106026491222
14.5,107.5,-0.177617074045
14.5,107.6,-0.122738318724
14.5,107.7,-0.149407360746
14.5,107.8,-0.149006365841
14.5,107.9,-0.194798614343
14.5,108,0
14.5,108.0,-0.196198771599
14.5,108.1,-0.372489804378
14.5,108.2,-0.389393152283
14.5,108.3,-0.46520512298
14.5,108.4,-0.475984611706
14.5,108.5,-0.481288270808
14.5,108.6,-0.527167612004
14.5,108.7,-0.604268869265
14.5,108.8,-0.620624531553
14.5,108.9,-0.713790377553
14.5,109,0
14.5,109.0,-0.676602105865
14.6,107,0
14.6,107.0,-1.22907464733
14.6,107.1,-1.08089990767
14.6,107.2,-1.22030982223
14.6,107.3,-1.20277387909
14.6,107.4,-1.08439300126
14.6,107.5,-1.07448535725
14.6,107.6,-1.01111955353
14.6,107.7,-0.871826606947
14.6,107.8,-0.717970493862
14.6,107.9,-0.618077323712
14.6,108,0
14.6,108.0,-0.703590779722
14.6,108.1,-0.637858318085
14.6,108.2,-0.543974985938
14.6,108.3,-0.573053042961
14.6,108.4,-0.467372191244
14.6,108.5,-0.41298364956
14.6,108.6,-0.366332254417
14.6,108.7,-0.508446897054
14.6,108.8,-0.413128456887
14.6,108.9,-0.507259708244
14.6,109,0
14.6,109.0,-0.481156524765
14.7,107,0
14.7,107.0,-1.22216616128
14.7,107.1,-1.23677351099
14.7,107.2,-1.24149075661
14.7,107.3,-1.38224713835
14.7,107.4,-1.34933809821
14.7,107.5,-1.39478242092
14.7,107.6,-1.54015319811
14.7,107.7,-1.54819100597
14.7,107.8,-1.54517288542
14.7,107.9,-1.54470537224
14.7,108,0
14.7,108.0,-1.5571185483
14.7,108.1,-1.5373524949
14.7,108.2,-1.54282687938
14.7,108.3,-1.4445305134
14.7,108.4,-1.53656642993
14.7,108.5,-1.55148469143
14.7,108.6,-1.44405932062
14.7,108.7,-1.44511224727
14.7,108.8,-1.13610308241
14.7,108.9,-1.16209857344
14.7,109,0
14.7,109.0,-1.26934671485
14.8,107,0
14.8,107.0,-1.34990371354
14.8,107.1,-1.22057004955
14.8,107.2,-1.10457291071
14.8,107.3,-1.04606128514
14.8,107.4,-0.829843372569
14.8,107.5,-0.900838127818
14.8,107.6,-0.858192637959
14.8,107.7,-1.01733439374
14.8,107.8,-1.1990325794
14.8,107.9,-0.984932720596
14.8,108,0
14.8,108.0,-0.987990329508
14.8,108.1,-0.859817065492
14.8,108.2,-0.998531588332
14.8,108.3,-1.06539835725
14.8,108.4,-1.06432995962
14.8,108.5,-1.19248609081
14.8,108.6,-1.25885215875
14.8,108.7,-1.18604647394
14.8,108.8,-1.27590888409
14.8,108.9,-1.1061549559
14.8,109,0
14.8,109.0,-1.11778924561
14.9,107,0
14.9,107.0,-1.45190163583
14.9,107.1,-1.46425155479
14.9,107.2,-1.49719177806
14.9,107.3,-1.55616089547
