lat,lon,spi
14.0,107.0,-0.906105396978
14.0,107.1,-1.0206268508
14.0,107.2,-1.2131270479
14.0,107.3,-1.15913987762
14.0,107.4,-0.886387550626
14.0,107.5,-1.06679432709
14.0,107.6,-1.10158322129
14.0,107.7,-0.656898927922
14.0,107.8,-0.944499132817
14.0,107.9,-1.02471456104
14.0,108.0,-1.09186165794
14.0,108.1,-1.06444174484
14.0,108.2,-0.999434954646
14.0,108.3,-1.05887032215
14.0,108.4,-1.09995823112
14.0,108.5,-0.949116576085
14.0,108.6,-0.89254458782
14.0,108.7,-0.961274151446
14.0,108.8,-1.04155840837
14.0,108.9,-0.903713437658
14.0,109.0,-1.01901266238
14.1,107,0
14.1,107.0,-0.27792546801
14.1,107.1,-0.349841330596
14.1,107.2,-0.0573413194329
14.1,107.3,-0.28201688843
14.1,107.4,-0.506263884297
14.1,107.5,-0.557326932487
14.1,107.6,-0.396463500768
14.1,107.7,-0.414698863192
14.1,107.8,-0.378647009493
14.1,107.9,-0.156597643009
14.1,108,0
14.1,108.0,-0.18976235103
14.1,108.1,-0.0979584686293
14.1,108.2,0.0110380740187
14.1,108.3,-0.368899113513
14.1,108.4,-0.25303436525
14.1,108.5,-0.168544512417
14.1,108.6,-0.424588217402
14.1,108.7,-0.296755423754
14.1,108.8,-0.383189826189
14.1,108.9,-0.380153600336
14.1,109,0
14.1,109.0,-0.689572527061
14.2,107,0
14.2,107.0,0.0351133054888
14.2,107.1,-0.273906444519
14.2,107.2,-0.617510917523
14.2,107.3,-0.588342183598
14.2,107.4,-0.665551218904
14.2,107.5,-0.732026701901
14.2,107.6,-0.811642892642
14.2,107.7,-0.961838065265
14.2,107.8,-0.881224650935
14.2,107.9,-0.670586291889
14.2,108,0
14.2,108.0,-1.05457552903
14.2,108.1,-1.03930066799
14.2,108.2,-0.967804613691
14.2,108.3,-0.919833102606
14.2,108.4,-0.849029680137
14.2,108.5,-0.726093274527
14.2,108.6,-0.758759695517
14.2,108.7,-0.651240220713
14.2,108.8,-0.540635296701
14.2,108.9,-0.52174339068
14.2,109,0
14.2,109.0,-0.290680605481
14.3,107,0
14.3,107.0,-0.510710050371
14.3,107.1,-0.775759777595
14.3,107.2,-0.850223346451
14.3,107.3,-0.961570024749
14.3,107.4,-1.03330448262
14.3,107.5,-1.07058244368
14.3,107.6,-0.91456544862
14.3,107.7,-0.711259580524
14.3,107.8,-0.690538455686
14.3,107.9,-0.789987159483
14.3,108,0
14.3,108.0,-0.695046190473
14.3,108.1,-0.315423034461
14.3,108.2,-0.264771575767
14.3,108.3,-0.443665268955
14.3,108.4,-0.438653622776
14.3,108.5,-0.463131903301
14.3,108.6,-0.603784411117
14.3,108.7,-0.510956595521
14.3,108.8,-0.565346156321
14.3,108.9,-0.336989476561
14.3,109,0
14.3,109.0,-0.0530757940854
14.4,107,0
14.4,107.0,-0.542934650117
14.4,107.1,-0.668457265142
14.4,107.2,-0.328220312632
14.4,107.3,-0.637508505081
14.4,107.4,-0.761527893744
14.4,107.5,-0.708295462248
14.4,107.6,-0.853574302981
14.4,107.7,-0.633578866683
14.4,107.8,-0.800370969173
14.4,107.9,-0.404292849947
14.4,108,0
14.4,108.0,-0.187954928802
14.4,108.1,-0.501804398982
14.4,108.2,-0.523811802272
14.4,108.3,-0.410790814314
14.4,108.4,-0.727314339841
14.4,108.5,-0.605408543852
14.4,108.6,-0.602002007629
14.4,108.7,-0.593522277497
14.4,108.8,-0.60362793096
14.4,108.9,-0.713096502449
14.4,109,0
14.4,109.0,-0.641361970952
14.5,107,0
14.5,107.0,-0.428433045896
14.5,107.1,-0.592688983794
14.5,107.2,-0.48359697802
14.5,107.3,-0.829976086876
14.5,107.4,-0.821522239434
14.5,107.5,-0.801959759198
14.5,107.6,-0.778495221138
14.5,107.7,-0.982873272799
14.5,107.8,-1.02983560464
14.5,107.9,-1.01017558153
14.5,108,0
14.5,108.0,-1.08651819101
14.5,108.1,-1.09854574876
14.5,108.2,-1.07217017177
14.5,108.3,-0.951089156654
14.5,108.4,-0.836824735337
14.5,108.5,-0.794267826873
14.5,108.6,-0.756549673891
14.5,108.7,-0.774287471733
14.5,108.8,-0.791376832247
14.5,108.9,-0.866582372866
14.5,109,0
14.5,109.0,-1.0819272801
14.6,107,0
14.6,107.0,-0.837854655011
14.6,107.1,-0.929638983738
14.6,107.2,-0.493054512006
14.6,107.3,-0.303911774275
14.6,107.4,-0.250839837178
14.6,107.5,-0.303760203746
14.6,107.6,-0.659252623386
14.6,107.7,-0.689974427742
14.6,107.8,-0.733175350505
14.6,107.9,-0.63832768908
14.6,108,0
14.6,108.0,-0.599693643389
14.6,108.1,-0.889570267601
14.6,108.2,-0.688046508536
14.6,108.3,-0.622364801046
14.6,108.4,-0.496135662686
14.6,108.5,-0.484033626327
14.6,108.6,-0.495010278429
14.6,108.7,-0.562630732546
14.6,108.8,-0.494725323159
14.6,108.9,-0.455550980998
14.6,109,0
14.6,109.0,-0.648275072402
14.7,107,0
14.7,107.0,-0.748765424976
14.7,107.1,-1.00574792729
14.7,107.2,-0.77333359747
14.7,107.3,-0.725924395773
14.7,107.4,-0.894190225632
14.7,107.5,-0.980610089229
14.7,107.6,-0.995990496711
14.7,107.7,-0.956986998645
14.7,107.8,-0.836162259918
14.7,107.9,-0.900124715757
14.7,108,0
14.7,108.0,-0.645293297488
14.7,108.1,-0.812221103741
14.7,108.2,-0.765109814518
14.7,108.3,-0.783867750611
14.7,108.4,-0.706776712707
14.7,108.5,-0.63831932519
14.7,108.6,-0.615348890395
14.7,108.7,-0.645999929996
14.7,108.8,-0.559312016265
14.7,108.9,-0.58394572735
14.7,109,0
14.7,109.0,-1.01541307884
14.8,107,0
14.8,107.0,-0.358635897263
14.8,107.1,-0.364212193814
14.8,107.2,-0.314241403513
14.8,107.3,-0.345412079609
14.8,107.4,-0.473280615946
14.8,107.5,-0.707529566247
14.8,107.6,-0.863816402261
14.8,107.7,-0.635629375095
14.8,107.8,-0.619221926062
14.8,107.9,-0.560143755127
14.8,108,0
14.8,108.0,-0.621982069147
14.8,108.1,-0.565984040171
14.8,108.2,-0.496246273819
14.8,108.3,-0.556647132387
14.8,108.4,-0.637836147701
14.8,108.5,-0.642577092459
14.8,108.6,-0.604419956202
14.8,108.7,-0.605112058918
14.8,108.8,-0.627131208734
14.8,108.9,-0.681532855253
14.8,109,0
14.8,109.0,-1.04503385635
14.9,107,0
14.9,107.0,-0.89891091445
14.9,107.1,-1.03403408046
14.9,107.2,-1.04080916108
14.9,107.3,-0.814558606223
14.9,107.4,-0.760429013083
14.9,107.5,-0.622165458035
14.9,107.6,-0.623603490159
14.9,107.7,-0.581905294667
14.9,107.8,-0.558142362205
14.9,107.9,-0.536942107221
14.9,108,0
14.9,108.0,-0.519662887025
14.9,108.1,-0.411586256008
14.9,108.2,-0.436387239299
14.9,108.3,-0.363785841269
14.9,108.4,-0.28748750338
14.9,108.5,-0.304791213438
14.9,108.6,-0.330985015218
14.9,108.7,-0.391652129108
14.9,108.8,-0.376444258169
14.9,108.9,-0.404302198189
14.9,109,0
14.9,109.0,-0.512277531635
14,107,0
14,107.1,0
14,107.2,0
14,107.3,0
14,107.4,0
14,107.5,0
14,107.6,0
14,107.7,0
14,107.8,0
14,107.9,0
14,108,0
14,108.1,0
14,108.2,0
14,108.3,0
14,108.4,0
14,108.5,0
14,108.6,0
14,108.7,0
14,108.8,0
14,108.9,0
14,109,0
15.0,107.0,-1.24586680263
15.0,107.1,-1.29378166355
15.0,107.2,-1.30628225846
15.0,107.3,-1.29825525921
15.0,107.4,-1.35829457995
15.0,107.5,-1.29807496384
15.0,107.6,-1.2031384875
15.0,107.7,-1.24987387144
15.0,107.8,-1.32561281556
15.0,107.9,-1.27802344987
15.0,108.0,-1.20791350842
15.0,108.1,-1.14545081943
15.0,108.2,-1.16183080705
15.0,108.3,-1.07766649703
15.0,108.4,-1.03735374425
15.0,108.5,-1.01527985101
15.0,108.6,-1.01722236629
15.0,108.7,-0.877711051383
15.0,108.8,-0.848902532574
15.0,108.9,-0.895844102207
15.0,109.0,-1.1142642341
15.1,107,0
15.1,107.0,-0.84089142373
15.1,107.1,-0.856103179585
15.1,107.2,-1.04097034513
15.1,107.3,-1.04428791788
15.1,107.4,-1.13931829257
15.1,107.5,-1.1797893454
15.1,107.6,-1.03958354715
15.1,107.7,-1.08086122611
15.1,107.8,-1.14216466758
15.1,107.9,-1.15621378443
15.1,108,0
15.1,108.0,-1.06197881046
15.1,108.1,-1.14573517045
15.1,108.2,-1.13060903021
15.1,108.3,-1.10260238711
15.1,108.4,-1.13286425662
15.1,108.5,-1.1784499293
15.1,108.6,-1.17179955465
15.1,108.7,-1.14286644173
15.1,108.8,-1.17803464277
15.1,108.9,-1.23606883385
15.1,109,0
15.1,109.0,-1.29898237402
15.2,107,0
15.2,107.0,-1.05890065158
15.2,107.1,-1.24677703227
15.2,107.2,-1.34047507487
15.2,107.3,-1.42847889575
15.2,107.4,-1.47892441209
15.2,107.5,-1.38008696609
15.2,107.6,-1.32360092279
15.2,107.7,-1.2918757285
15.2,107.8,-1.3586867278
15.2,107.9,-1.2771627194
15.2,108,0
15.2,108.0,-1.29265859977
15.2,108.1,-1.31285791474
15.2,108.2,-1.39043579293
15.2,108.3,-1.3236162589
15.2,108.4,-1.30624689365
15.2,108.5,-1.21458469117
15.2,108.6,-1.09515474266
15.2,108.7,-0.913891494566
15.2,108.8,-0.866339396806
15.2,108.9,-0.88856267257
15.2,109,0
15.2,109.0,-0.973336292431
15.3,107,0
15.3,107.0,-1.38835688267
15.3,107.1,-1.36558001367
15.3,107.2,-1.53382189976
15.3,107.3,-1.51459077387
15.3,107.4,-1.53080922541
15.3,107.5,-1.55025159302
15.3,107.6,-1.36869965883
15.3,107.7,-1.22280548271
15.3,107.8,-1.2039138198
15.3,107.9,-1.17847449561
15.3,108,0
15.3,108.0,-1.16375604845
15.3,108.1,-1.21404055819
15.3,108.2,-1.31696737698
15.3,108.3,-1.19660299403
15.3,108.4,-1.04981197089
15.3,108.5,-1.11784148146
15.3,108.6,-1.02039370916
15.3,108.7,-1.10145581476
15.3,108.8,-1.10059253595
15.3,108.9,-1.03412614997
15.3,109,0
15.3,109.0,-1.21354457256
15.4,107,0
15.4,107.0,-0.859619402789
15.4,107.1,-1.14178510932
15.4,107.2,-1.08063216722
15.4,107.3,-1.3015421745
15.4,107.4,-1.44134413438
15.4,107.5,-1.26311269274
15.4,107.6,-1.43481758964
15.4,107.7,-1.40925653875
15.4,107.8,-1.47143453119
15.4,107.9,-1.48216221601
15.4,108,0
15.4,108.0,-1.48741375262
15.4,108.1,-1.41744443737
15.4,108.2,-1.417607883
15.4,108.3,-1.02854836098
15.4,108.4,-1.22175439456
15.4,108.5,-1.33157900058
15.4,108.6,-1.22542180517
15.4,108.7,-1.22093845722
15.4,108.8,-1.12456473156
15.4,108.9,-1.07165328517
15.4,109,0
15.4,109.0,-1.46644513455
15.5,107,0
15.5,107.0,-0.338757443699
15.5,107.1,-0.470333631008
15.5,107.2,-0.47233371048
15.5,107.3,-0.603953024952
15.5,107.4,-0.682024248947
15.5,107.5,-0.650064470601
15.5,107.6,-0.962624764775
15.5,107.7,-0.861952914088
15.5,107.8,-0.958335088891
15.5,107.9,-1.07280481593
15.5,108,0
15.5,108.0,-0.908814707495
15.5,108.1,-0.94558124005
15.5,108.2,-1.10996228985
15.5,108.3,-0.89933828525
15.5,108.4,-0.736985021209
15.5,108.5,-0.889870144682
15.5,108.6,-0.902637035241
15.5,108.7,-0.819957482368
15.5,108.8,-1.0602670685
15.5,108.9,-1.06062266714
15.5,109,0
15.5,109.0,-1.275388656
15.6,107,0
15.6,107.0,-0.212073240426
15.6,107.1,0.288728933922
15.6,107.2,-0.209855839957
15.6,107.3,0.269468375017
15.6,107.4,-0.263372476337
15.6,107.5,-0.577399629001
15.6,107.6,-0.833343313762
15.6,107.7,-0.373260919
15.6,107.8,-0.301136093779
15.6,107.9,-0.587903032139
15.6,108,0
15.6,108.0,-0.532727722973
15.6,108.1,-0.523388421474
15.6,108.2,-0.621137322782
15.6,108.3,-0.575319250376
15.6,108.4,-0.615021483338
15.6,108.5,-0.727898400534
15.6,108.6,-0.565111978955
15.6,108.7,-0.65531249976
15.6,108.8,-0.661276600039
15.6,108.9,-0.880383854036
15.6,109,0
15.6,109.0,-0.656702650316
15.7,107,0
15.7,107.0,-0.634813465831
15.7,107.1,-0.853715820444
15.7,107.2,-0.811174211394
15.7,107.3,-1.13515552959
15.7,107.4,-1.07162491007
15.7,107.5,-1.1471018881
15.7,107.6,-0.964996461409
15.7,107.7,-0.845802844304
15.7,107.8,-0.689595388851
15.7,107.9,-0.650479881084
15.7,108,0
15.7,108.0,-0.697674816498
15.7,108.1,-0.664294278691
15.7,108.2,-0.621189360263
15.7,108.3,-0.652899750656
15.7,108.4,-0.709284196743
15.7,108.5,-0.791857539334
