name,lat,lon,spi
Tra My,15.3372,108.222,-1.42477044865
Kham Duc,15.445,107.7936111,-1.36929632814
Tien Phuoc,15.48833333,108.3077778,-0.803679299483
Nong Son,15.7025,108.0341667,-1.49874760513
Thanh My,15.766666666667,107.83055555556,-1.27787069715
Giao Thuy,15.84166667,108.1344444,-1.14891725631
Cau Lau,15.85805556,108.2733333,-1.74573877266
Hoi An,15.876666666667,108.33527777778,-1.6491221097
Ai Nghia,15.88138889,108.1102778,-1.55426083215
Cam Le,16.01083333,108.2058333,-1.11011616138
Da Nang,16.03,108.18,-1.18236935928
