lat,lon,spi
14.0,107.0,1.01323790145
14.0,107.1,1.24019637433
14.0,107.2,1.51918857759
14.0,107.3,1.05014846121
14.0,107.4,1.61507242469
14.0,107.5,1.52321488892
14.0,107.6,1.62906558067
14.0,107.7,1.5099162554
14.0,107.8,1.5464609513
14.0,107.9,1.69798824422
14.0,108.0,1.85503525087
14.0,108.1,1.90502684436
14.0,108.2,1.67868090488
14.0,108.3,1.71580081089
14.0,108.4,1.85882809864
14.0,108.5,1.80260719683
14.0,108.6,1.78433663754
14.0,108.7,0.242509284106
14.0,108.8,1.69624260189
14.0,108.9,0.390225321204
14.0,109.0,0.406767654833
14.1,107,0
14.1,107.0,-0.274250303088
14.1,107.1,-0.35794745186
14.1,107.2,-0.503862504746
14.1,107.3,-0.38684307549
14.1,107.4,-0.409513847356
14.1,107.5,-0.242603167531
14.1,107.6,-0.217659508542
14.1,107.7,-0.0666585631564
14.1,107.8,-0.0746446684458
14.1,107.9,-0.317638343468
14.1,108,0
14.1,108.0,-0.322840706815
14.1,108.1,-0.325150900832
14.1,108.2,-0.268747716936
14.1,108.3,-0.326214541277
14.1,108.4,-0.332619987245
14.1,108.5,-0.359009818795
14.1,108.6,-0.313498032369
14.1,108.7,-0.374448982201
14.1,108.8,-0.317591637495
14.1,108.9,-0.117390923496
14.1,109,0
14.1,109.0,1.39714221789
14.2,107,0
14.2,107.0,1.04415790528
14.2,107.1,0.817350562206
14.2,107.2,0.911046448753
14.2,107.3,0.627726539199
14.2,107.4,0.629684602655
14.2,107.5,-0.337890470547
14.2,107.6,-0.0938981828073
14.2,107.7,-0.0975117610719
14.2,107.8,0.0875253634414
14.2,107.9,-0.119159178757
14.2,108,0
14.2,108.0,-0.355275408253
14.2,108.1,0.0736123759633
14.2,108.2,-0.127143794108
14.2,108.3,-0.45872479842
14.2,108.4,-0.496754170863
14.2,108.5,-0.372353968259
14.2,108.6,-0.277818491579
14.2,108.7,-0.398174339683
14.2,108.8,-0.348106850948
14.2,108.9,-0.381014728092
14.2,109,0
14.2,109.0,-0.288463039993
14.3,107,0
14.3,107.0,0.488143210123
14.3,107.1,0.436164950159
14.3,107.2,1.0550593827
14.3,107.3,0.273896374223
14.3,107.4,0.121322416656
14.3,107.5,0.53310561124
14.3,107.6,0.794815442136
14.3,107.7,0.0210619588853
14.3,107.8,0.239921306625
14.3,107.9,0.111038604054
